potěr,fry [fraɪ]
páteř,spinal [ˈspaɪ.nəl]
spirála,spiral [ˈspaɪə.rəl]
plivat,spit [spɪt]
Splash,splash [splæʃ]
po sobě jdoucí,successive [səkˈses.ɪv]
Ti,ti [tiː]
včas,timely [ˈtaɪm.li]
vana,tub [tʌb]
vysokoškolák,undergraduate [ˌʌn.dəˈɡrædʒ.u.ət]
uran,uranium [jʊəˈreɪ.ni.əm]
pronést,utter [ˈʌt.ər]
volejbal,volleyball [ˈvɒl.i.bɔːl]
inzerát,advertisement [ədˈvɜː.tɪs.mənt]
atmosférický,atmospheric [ˌæt.məsˈfer.ɪk]
odpalování,batting [ˈbæt.ɪŋ]
konzola,bracket [ˈbræk.ɪt]
srdeční,cardiac [ˈkɑː.di.æk]
velící,commanding [kəˈmɑːn.dɪŋ]
konfrontovat,confront [kənˈfrʌnt]
plíží se,creep [kriːp]
denní světlo,daylight [ˈdeɪ.laɪt]
zveřejnit,disclose [dɪˈskləʊz]
koleno,elbow [ˈel.bəʊ]
nadšený,enthusiastic [ɪnˌθjuː.ziˈæs.tɪk]
závidět,envy [ˈen.vi]
vyhnanství,exile [ˈek.saɪl]
vykořisťování,exploitation [ˌek.splɔɪˈteɪ.ʃən]
gel,gel [dʒel]
husa,goose [ɡuːs]
gril,grill [ɡrɪl]
hrdinný,heroic [hɪˈrəʊ.ɪk]
chata,hut [hʌt]
chovanec,inmate [ˈɪn.meɪt]
poučit,instruct [ɪnˈstrʌkt]
Marina,marina [məˈriː.nə]
rohož,mat [mæt]
monopol,monopoly [məˈnɒp.əl.i]
národně,nationally [ˈnæʃ.ən.əl.i]
rozhořčení,outrage [ˈaʊt.reɪdʒ]
okamžitě,promptly [ˈprɒmpt.li]
obnova,renewal [rɪˈnjuː.əl]
pravítko,ruler [ˈruː.lər]
upřímný,sincere [sɪnˈsɪər]
bruslení,skating [ˈskeɪ.tɪŋ]
porážka,slaughter [ˈslɔː.tər]
spermie,sperm [spɜːm]
rozlít,spill [spɪl]
stále,steadily [ˈsted.əl.i]
bažina,swamp [swɒmp]
labuť,swan [swɒn]
syntéza,synthesis [ˈsɪn.θə.sɪs]
tolerovat,tolerate [ˈtɒl.ər.eɪt]
cestovatel,traveler [ˈtræv.əl.ər]
zrada,treason [ˈtriː.zən]
Správce,trustee [ˌtrʌsˈtiː]
moč,urine [ˈjʊə.rɪn]
vanilka,vanilla [vəˈnɪl.ə]
fialový,violet [ˈvaɪə.lət]
aktivace,activation [ˌæk.tɪˈveɪ.ʃən]
poté,afterward [ˈæf.tɚ.wɚd]
přidělit,allocate [ˈæl.ə.keɪt]
potlesk,applause [əˈplɔːz]
plešatý,bald [bɔːld]
vařit,boil [bɔɪl]
čtvrť,borough [ˈbʌr.ə]
průlom,breakthrough [ˈbreɪk.θruː]
kužel,cone [kəʊn]
sdělit,convey [kənˈveɪ]
kritika,critique [krɪˈtiːk]
rozklad,decay [dɪˈkeɪ]
deprese,depress [dɪˈpres]
dezert,dessert [dɪˈzɜːt]
diagnostický,diagnostic [ˌdaɪ.əɡˈnɒs.tɪk]
rozdíl,differential [ˌdɪf.əˈren.ʃəl]
diskurs,discourse [ˈdɪs.kɔːs]
dominance,dominance [ˈdɒm.ɪ.nəns]
ekonomicky,economically [ˌiː.kəˈnɒm.ɪ.kəl.i]
využívat,exploit [ɪkˈsplɔɪt]
ohňostroj,firework [ˈfaɪə.wɜːk]
Freeman,freeman [ˈfriː.mən]
brána,gateway [ˈɡeɪt.weɪ]
vlhkost,humidity [hjuːˈmɪd.ə.ti]
humor,humour [ˈhjuː.mər]
Snímky,imagery [ˈɪm.ɪ.dʒər.i]
vlastní,inherent [ɪnˈher.ənt]
vnitrozemí,inland [ˈɪn.lənd]
nevinnost,innocence [ˈɪn.ə.səns]
ostrůvek,isle [aɪl]
břečťan,ivy [ˈaɪ.vi]
zarovnání,justification [ˌdʒʌs.tɪ.fɪˈkeɪ.ʃən]
hospodářská zvířata,livestock [ˈlaɪv.stɒk]
veselý,merry [ˈmer.i]
misionář,missionary [ˈmɪʃ.ən.ri]
nacionalismus,nationalism [ˈnæʃ.ən.əl.ɪ.zəm]
Naughty,naughty [ˈnɔː.ti]
oznámit,notify [ˈnəʊ.tɪ.faɪ]
notoricky známé,notorious [nəʊˈtɔː.ri.əs]
poslouchat,obey [əʊˈbeɪ]
Organizační,organizational [ˌɔː.ɡən.aɪˈzeɪ.ʃən.əl]
dohled,oversight [ˈəʊ.və.saɪt]
panter,panther [ˈpæn.θər]
hlasování,polling [pəʊl]
prototyp,prototype [ˈprəʊ.tə.taɪp]
dýně,pumpkin [ˈpʌmp.kɪn]
rampa,ramp [ræmp]
reaktor,reactor [riˈæk.tər]
útes,reef [riːf]
rafinovaný,refined [rɪˈfaɪnd]
zamítnutí,refusal [rɪˈfjuː.zəl]
posílit,reinforce [ˌriː.ɪnˈfɔːs]
lék,remedy [ˈrem.ə.di]
resetovat,reset [ˌriːˈset]
šalvěj,sage [seɪdʒ]
oholení,shave [ʃeɪv]
nemoc,sickness [ˈsɪk.nəs]
statut,statute [ˈstætʃ.uːt]
přímý,straightforward [ˌstreɪtˈfɔː.wəd]
přemýšlivý,thoughtful [ˈθɔːt.fəl]
batole,toddler [ˈtɒd.lər]
využít,utilize [ˈjuː.təl.aɪz]
zlý,vicious [ˈvɪʃ.əs]
vodka,vodka [ˈvɒd.kə]
zcela,wholly [ˈhəʊl.li]
Zoom,zoom [zuːm]
náhodné,accidental [ˌæk.sɪˈden.təl]
arcibiskup,archbishop [ˌɑːtʃˈbɪʃ.əp]
atentát,assassination [əˌsæs.ɪˈneɪ.ʃən]
bibliografie,bibliography [ˌbɪb.liˈɒɡ.rə.fi]
Bot,bot [bɒt]
široce,broadly [ˈbrɔːd.li]
vápník,calcium [ˈkæl.si.əm]
jistota,certainty [ˈsɜː.tən.ti]
citace,citation [saɪˈteɪ.ʃən]
společně,collectively [kəˈlek.tɪv.li]
komprese,compression [kəmˈpreʃ.ən]
přiznat,confess [kənˈfes]
omezit,confine [kənˈfaɪn]
kongregace,congregation [ˌkɒŋ.ɡrɪˈɡeɪ.ʃən]
krychle,cube [kjuːb]
dekorace,decoration [ˌdek.əˈreɪ.ʃən]
dekret,decree [dɪˈkriː]
úmyslné,deliberate [dɪˈlɪb.ər.ət]
zoufalství,despair [dɪˈspeər]
dividenda,dividend [ˈdɪv.ɪ.dend]
drift,drift [drɪft]
elektron,electron [ɪˈlek.trɒn]
vydržet,endure [ɪnˈdʒʊər]
enzym,enzyme [ˈen.zaɪm]
evoluční,evolutionary [ˌiː.vəˈluː.ʃən.ər.i]
fragment,fragment [ˈfræɡ.mənt]
geologický,geological [ˌdʒi.əˈlɒdʒ.ɪ.kəl]
globálně,globally [ˈɡləʊ.bəl.i]
guru,guru [ˈɡʊr.uː]
Hatch,hatch [hætʃ]
hormon,hormone [ˈhɔː.məʊn]
nedostatečné,inadequate [ɪˈnæd.ɪ.kwət]
nekonečno,infinity [ɪnˈfɪn.ə.ti]
záměrně,intentionally [ɪnˈten.ʃən.əl.i]
krajka,lace [leɪs]
dívčí,maiden [ˈmeɪ.dən]
membrána,membrane [ˈmem.breɪn]
kovový,metallic [məˈtæl.ɪk]
metodologie,methodology [ˌmeθ.əˈdɒl.ə.dʒi]
úprava,modification [ˌmɒd.ɪ.fɪˈkeɪ.ʃən]
vrah,murderer [ˈmɜː.dər.ər]
zdřímnutí,nap [næp]
nikl,nickel [ˈnɪk.əl]
neteř,niece [niːs]
přehlédnout,overlook [ˌəʊ.vəˈlʊk]
Pardon,pardon [ˈpɑː.dən]
přesvědčit,persuade [pəˈsweɪd]
molo,pier [pɪər]
předchůdce,predecessor [ˈpriː.dɪˌses.ər]
Kvíz,quiz [kwɪz]
srážky,rainfall [ˈreɪn.fɔːl]
bezohledný,reckless [ˈrek.ləs]
vykoupení,redemption [rɪˈdemp.ʃən]
opakování,replay [ˌriːˈpleɪ]
revize,revision [rɪˈvɪʒ.ən]
vůně,scent [sent]
břidlice,slate [sleɪt]
podnět,stimulus [ˈstɪm.jə.ləs]
východ slunce,sunrise [ˈsʌn.raɪz]
nárůst,surge [sɜːdʒ]
Tee,tee [tiː]
žeton,token [ˈtəʊ.kən]
tornádo,tornado [tɔːˈneɪ.dəʊ]
soumrak,twilight [ˈtwaɪ.laɪt]
bezprecedentní,unprecedented [ʌnˈpres.ɪ.den.tɪd]
Vagina,vagina [vəˈdʒaɪ.nə]
slovník,vocabulary [vəˈkæb.jə.lər.i]
Wellington,wellington [ˈwel.ɪŋ.tən]
ochota,willingness [ˈwɪl.ɪŋ.nəs]
dřevnatý,woody [ˈwʊd.i]
bezcenný,worthless [ˈwɜːθ.ləs]
alt,alt [ɒlt]
alternativně,alternatively [ɒlˈtɜː.nə.tɪv.li]
lukostřelec,archer [ˈɑː.tʃər]
ujištění,assurance [əˈʃɔː.rəns]
holič,barber [ˈbɑː.bər]
Bash,bash [bæʃ]
prapor,battalion [bəˈtæl.i.ən]
bojkot,boycott [ˈbɔɪ.kɒt]
tesař,carpenter [ˈkɑː.pɪn.tər]
kuchyně,cuisine [kwɪˈziːn]
zadržet,detain [dɪˈteɪn]
osud,doom [duːm]
dabovat,dub [dʌb]
zatmění,eclipse [ɪˈklɪps]
osmnáct,eighteen [ˌeɪˈtiːn]
požitek,enjoyment [ɪnˈdʒɔɪ.mənt]
dopředu,forwards [ˈfɔː.wədz]
gal,gal [ɡæl]
záblesk,glimpse [ɡlɪmps]
domácí,homemade [ˌhəʊmˈmeɪd]
ctihodný,honorable [ˈɒn.ər.ə.bəl]
infekční,infectious [ɪnˈfek.ʃəs]
nižší,inferior [ɪnˈfɪə.ri.ər]
bezpráví,injustice [ɪnˈdʒʌs.tɪs]
inzulín,insulin [ˈɪn.sjə.lɪn]
roznítit,kindle [ˈkɪn.dəl]
víčko,lid [lɪd]
panství,manor [ˈmæn.ər]
mistrovské dílo,masterpiece [ˈmɑː.stə.piːs]
melodie,melody [ˈmel.ə.di]
Memo,memo [ˈmem.əʊ]
vypravěč,narrator [nəˈreɪ.tər]
obezita,obesity [əʊˈbiː.sə.ti]
partyzán,partisan [ˌpɑː.tɪˈzæn]
výsadba,planting [ˈplɑːn.tɪŋ]
poník,pony [ˈpəʊ.ni]
protestant,protestant [ˈprɒt.ɪ.stənt]
důvěra,reliance [rɪˈlaɪ.əns]
neochotný,reluctant [rɪˈlʌk.tənt]
respirační,respiratory [rɪˈspɪr.ə.tər.i]
udržení,retention [rɪˈten.ʃən]
stuha,ribbon [ˈrɪb.ən]
spolubydlící,roommate [ˈruːm.meɪt]
shnilý,rotten [ˈrɒt.ən]
Shah,shah [ʃɑː]
brokovnice,shotgun [ˈʃɒt.ɡʌn]
pohovka,sofa [ˈsəʊ.fə]
zkazit,spoil [spɔɪl]
ponorka,submarine [ˌsʌb.məˈriːn]
zmírnit,temper [ˈtem.pər]
podstoupit,undergo [ˌʌn.dəˈɡəʊ]
zarovnat,align [əˈlaɪn]
oltář,altar [ˈɔːl.tər]
atlas,atlas [ˈæt.ləs]
hrůza,awe [ɔː]
kavalerie,cavalry [ˈkæv.əl.ri]
rakev,coffin [ˈkɒf.ɪn]
barvitý,colorful [ˈkʌl.ə.fəl]
komunismus,communism [ˈkɒm.jə.nɪ.zəm]
dirigent,conductor [kənˈdʌk.tər]
vrána,crow [krəʊ]
rozhodující,decisive [dɪˈsaɪ.sɪv]
dekorativní,decorative [ˈdek.ər.ə.tɪv]
definitivní,definitive [dɪˈfɪn.ɪ.tɪv]
přemístit,displace [dɪˈspleɪs]
epidemický,epidemic [ˌep.ɪˈdem.ɪk]
věčnost,eternity [ɪˈtɜː.nə.ti]
explodovat,explode [ɪkˈspləʊd]
extrakce,extraction [ɪkˈstræk.ʃən]
mastný,fatty [ˈfæt.i]
špinavý,filthy [ˈfɪl.θi]
spláchnutí,flush [flʌʃ]
písmo,font [fɒnt]
lepidlo,glue [ɡluː]
dědeček,grandpa [ˈɡræn.pɑː]
chlupatý,hairy [ˈheə.ri]
vražda,homicide [ˈhɒm.ɪ.saɪd]
tj,ie [ˌaɪˈiː]
dědictví,inheritance [ɪnˈher.ɪ.təns]
zavazadla,luggage [ˈlʌɡ.ɪdʒ]
mikrovlnná trouba,microwave [ˈmaɪ.krə.weɪv]
minimalizovat,minimize [ˈmɪn.ɪ.maɪz]
Maroko,morocco [məˈrɒk.əʊ]
vzniknout,originate [əˈrɪdʒ.ən.eɪt]
unce,ounce [aʊns]
kůra,peel [piːl]
piknik,picnic [ˈpɪk.nɪk]
praktik,practitioner [prækˈtɪʃ.ən.ər]
převážně,predominantly [prɪˈdɒm.ɪ.nənt.li]
primitivní,primitive [ˈprɪm.ɪ.tɪv]
prozřetelnost,providence [ˈprɒv.ɪ.dəns]
duševní,psychic [ˈsaɪ.kɪk]
psycholog,psychologist [saɪˈkɒl.ə.dʒɪst]
loutka,puppet [ˈpʌp.ɪt]
žebro,rib [rɪb]
spravedlivý,righteous [ˈraɪ.tʃəs]
soupeření,rivalry [ˈraɪ.vəl.ri]
Royalty,royalty [ˈrɔɪ.əl.ti]
klobása,sausage [ˈsɒs.ɪdʒ]
kostra,skeleton [ˈskel.ə.tən]
pikantní,spicy [ˈspaɪ.si]
lepkavý,sticky [ˈstɪk.i]
bodnutí,sting [stɪŋ]
dostatečně,sufficiently [səˈfɪʃ.ənt.li]
Naštěstí,thankfully [ˈθæŋk.fəl.i]
klíště,tick [tɪk]
konzultace,tutorial [tʃuːˈtɔː.ri.əl]
dvacetina,twentieth [ˈtwen.ti.əθ]
nepříjemný,unpleasant [ʌnˈplez.ənt]
nesouvisející,unrelated [ˌʌn.rɪˈleɪ.tɪd]
volný,vacant [ˈveɪ.kənt]
větrací otvor,vent [vent]
okolí,vicinity [vɪˈsɪn.ə.ti]
Wan,wan [wɒn]
bloudit,wander [ˈwɒn.dər]
šatník,wardrobe [ˈwɔː.drəʊb]
teplo,warmth [wɔːmθ]
analyzovat,analyse [ˈæn.əl.aɪz]
sekera,axe [æks]
kráska,belle [bel]
bulletin,bulletin [ˈbʊl.ə.tɪn]
kapitalista,capitalist [ˈkæp.ɪ.təl.ɪst]
opatrný,cautious [ˈkɔː.ʃəs]
konstábl,constable [ˈkʌn.stə.bəl]
poradce,counselor [ˈkaʊn.səl.ɚ]
obrubník,curb [kɜːb]
listina,deed [diːd]
odpojit,detach [dɪˈtætʃ]
efektivně,efficiently [ɪˈfɪʃ.ənt.li]
povzbuzení,encouragement [ɪnˈkʌr.ɪdʒ.mənt]
frakce,faction [ˈfæk.ʃən]
fašistický,fascist [ˈfæʃ.ɪst]
peří,feather [ˈfeð.ər]
příslušenství,fixture [ˈfɪks.tʃər]
hazardovat,gamble [ˈɡæm.bəl]
brankář,goalkeeper [ˈɡəʊlˌkiː.pər]
vnouče,grandchild [ˈɡræn.tʃaɪld]
neškodný,harmless [ˈhɑːm.ləs]
sluch,hearing [ˈhɪə.rɪŋ]
váhat,hesitate [ˈhez.ɪ.teɪt]
nadějný,hopeful [ˈhəʊp.fəl]
nadržený,horny [ˈhɔː.ni]
hygiena,hygiene [ˈhaɪ.dʒiːn]
Island,iceland [ˈaɪs.lənd]
nekonzistentní,inconsistent [ˌɪn.kənˈsɪs.tənt]
mateřská škola,kindergarten [ˈkɪn.dəˌɡɑː.tən]
hlasitě,loudly [ˈlaʊd.li]
zanedbání,neglect [nɪˈɡlekt]
severozápadní,northwestern [ˌnɔːθˈwes.tən]
pachatel,offender [əˈfen.dər]
útlak,oppression [əˈpreʃ.ən]
vlastenecký,patriotic [ˌpæt.riˈɒt.ɪk]
džbán,pitcher [ˈpɪtʃ.ər]
dětské hřiště,playground [ˈpleɪ.ɡraʊnd]
osídlit,populate [ˈpɒp.jə.leɪt]
předsudek,prejudice [ˈpredʒ.ə.dɪs]
pravděpodobný,probable [ˈprɒb.ə.bəl]
Probace,probation [prəˈbeɪ.ʃən]
Projekce,projection [prəˈdʒek.ʃən]
havran,raven [ˈreɪ.vən]
receptor,receptor [rɪˈsep.tər]
předělat,remake [ˌriːˈmeɪk]
reprodukce,reproduction [ˌriː.prəˈdʌk.ʃən]
krevety,shrimp [ʃrɪmp]
podobnost,similarity [ˌsɪm.ɪˈlær.ə.ti]
mluvčí,spokesman [ˈspəʊks.mən]
skvrna,stain [steɪn]
stánek,stall [stɔːl]
vyhladovět,starve [stɑːv]
popruh,strap [stræp]
subjektivní,subjective [səbˈdʒek.tɪv]
traumatický,traumatic [trɔːˈmæt.ɪk]
bilion,trillion [ˈtrɪl.jən]
Tucker,tucker [ˈtʌk.ər]
prodejce,vendor [ˈven.dər]
domorodý,aboriginal [ˌæb.əˈrɪdʒ.ən.əl]
zarovnání,alignment [əˈlaɪn.mənt]
alergický,allergic [əˈlɜː.dʒɪk]
pozměnit,amend [əˈmend]
zařízení,apparatus [ˌæp.əˈreɪ.təs]
mstitel,avenger [əˈven.dʒər]
balkón,balcony [ˈbæl.kə.ni]
bankéř,banker [ˈbæŋ.kər]
blaho,bliss [blɪs]
tělesné,bodily [ˈbɒd.əl.i]
vyrovnávací paměť,buffer [ˈbʌf.ər]
kotleta,chop [tʃɒp]
spolupráce,collaborative [kəˈlæb.ər.ə.tɪv]
zahájit,commence [kəˈmens]
kompenzovat,compensate [ˈkɒm.pən.seɪt]
konstruktivní,constructive [kənˈstrʌk.tɪv]
vesmírný,cosmic [ˈkɒz.mɪk]
odjezd,depart [dɪˈpɑːt]
vývojový,developmental [dɪˌvel.əpˈmen.təl]
rozptýlení,distraction [dɪˈstræk.ʃən]
Dom,dom [ˌnɒnˈdɒm]
výstavce,drawer [drɔːr]
ekologický,ecological [ˌiː.kəˈlɒdʒ.ɪ.kəl]
Ekosystém,ecosystem [ˈiː.kəʊˌsɪs.təm]
osvobození,exempt [ɪɡˈzempt]
slabý,faint [feɪnt]
plodnost,fertility [fəˈtɪl.ə.ti]
pěna,foam [fəʊm]
Především,foremost [ˈfɔː.məʊst]
kovárna,forge [fɔːdʒ]
skleník,greenhouse [ˈɡriːn.haʊs]
hierarchie,hierarchy [ˈhaɪə.rɑː.ki]
neplatný,invalid [ɪnˈvæl.ɪd]
nefrit,jade [dʒeɪd]
společně,jointly [ˈdʒɔɪnt.li]
lehký,lightweight [ˈlaɪt.weɪt]
metabolismus,metabolism [məˈtæb.əl.ɪ.zəm]
zářez,notch [nɒtʃ]
Omega,omega [ˈəʊ.mɪ.ɡə]
Packer,packer [ˈpæk.ər]
Rodiče,parental [pəˈren.təl]
parodie,parody [ˈpær.ə.di]
čestné slovo,parole [pəˈrəʊl]
tučňák,penguin [ˈpeŋ.ɡwɪn]
přízrak,phantom [ˈfæn.təm]
precedens,precedent [ˈpres.ɪ.dənt]
převládající,prevalent [ˈprev.əl.ənt]
krajta,python [ˈpaɪ.θən]
sporný,questionable [ˈkwes.tʃə.nə.bəl]
fronta,queue [kjuː]
odpůrce,respondent [rɪˈspɒn.dənt]
námořník,sailor [ˈseɪ.lər]
sedmdesát,seventy [ˈsev.ən.ti]
sociologie,sociology [ˌsəʊ.siˈɒl.ə.dʒi]
supermarket,supermarket [ˈsuː.pəˌmɑː.kɪt]
svetr,sweater [ˈswet.ər]
trakce,traction [ˈtræk.ʃən]
traktor,tractor [ˈtræk.tər]
pstruh,trout [traʊt]
obrat,turnover [ˈtɜːnˌəʊ.vər]
nechtěné,unwanted [ʌnˈwɒn.tɪd]
miláček,valentine [ˈvæl.ən.taɪn]
varianta,variant [ˈveə.ri.ənt]
vegetariánský,vegetarian [ˌvedʒ.ɪˈteə.ri.ən]
viditelnost,visibility [ˌvɪz.əˈbɪl.ə.ti]
kde,wherein [weəˈrɪn]
whisky,whiskey [ˈwɪs.ki]
algebra,algebra [ˈæl.dʒə.brə]
analytický,analytic [ˌæn.əlˈɪt.ɪk]
anténa,antenna [ænˈten.ə]
konkurs,audition [ɔːˈdɪʃ.ən]
Bravo,bravo [ˌbrɑːˈvəʊ]
srovnávací,comparative [kəmˈpær.ə.tɪv]
doplněk,complement [ˈkɒm.plɪ.ment]
dobýt,conquer [ˈkɒŋ.kər]
dobytí,conquest [ˈkɒŋ.kwest]
kontinuita,continuity [ˌkɒn.tɪˈnjuː.ə.ti]
plazit se,crawl [krɔːl]
důvěryhodný,credible [ˈkred.ə.bəl]
přeběhnout,defect [ˈdiː.fekt]
nádherné,delightful [dɪˈlaɪt.fəl]
zobrazovat,depict [dɪˈpɪkt]
číslice,digit [ˈdɪdʒ.ɪt]
dinosaurus,dinosaur [ˈdaɪ.nə.sɔːr]
drenáž,drainage [ˈdreɪ.nɪdʒ]
utopit,drown [draʊn]
rozpaky,embarrassment [ɪmˈbær.əs.mənt]
explodoval,exploded [ɪkˈspləʊd]
spravedlnost,fairness [ˈfeə.nəs]
zločin,felony [ˈfel.ə.ni]
pazourek,flint [flɪnt]
květinový,floral [ˈflɔː.rəl]
pevnost,fortress [ˈfɔː.trəs]
v zásadě,fundamentally [ˌfʌn.dəˈmen.təl.i]
Hearted,hearted [-hɑː.tɪd]
bylina,herb [hɜːb]
stádo,herd [hɜːd]
ideologický,ideological [ˌaɪ.di.əˈlɒdʒ.ɪ.kəl]
nesmrtelný,immortal [ɪˈmɔː.təl]
Stávající,incumbent [ɪnˈkʌm.bənt]
zasvěcenec,insider [ɪnˈsaɪ.dər]
nedostatečné,insufficient [ˌɪn.səˈfɪʃ.ənt]
interval,interval [ˈɪn.tə.vəl]
želé,jelly [ˈdʒel.i]
lízat,lick [lɪk]
doslovný,literal [ˈlɪt.ər.əl]
měsíční,lunar [ˈluː.nər]
mateřský,maternal [məˈtɜː.nəl]
Memoir,memoir [ˈmem.wɑːr]
námitka,objection [əbˈdʒek.ʃən]
zavázat,oblige [əˈblaɪdʒ]
výskyt,occurrence [əˈkʌr.əns]
potomstvo,offspring [ˈɒf.sprɪŋ]
pobuřující,outrageous [ˌaʊtˈreɪ.dʒəs]
paket,packet [ˈpæk.ɪt]
cesta,pathway [ˈpɑːθ.weɪ]
moderátor,presenter [prɪˈzen.tər]
vyhlásit,proclaim [prəˈkleɪm]
zákaz,prohibition [ˌprəʊ.ɪˈbɪʃ.ən]
podpěra,prop [prɒp]
registr,registry [ˈredʒ.ɪ.stri]
pozoruhodně,remarkably [rɪˈmɑː.kə.bli]
střídat,rotate [rəʊˈteɪt]
jizva,scar [skɑːr]
bible,scripture [ˈskrɪp.tʃər]
seminář,seminar [ˈsem.ɪ.nɑːr]
jednoduchost,simplicity [sɪmˈplɪs.ə.ti]
měkce,softly [ˈsɒft.li]
stereo,stereo [ˈster.i.əʊ]
symfonie,symphony [ˈsɪm.fə.ni]
učebnice,textbook [ˈtekst.bʊk]
teologický,theological [ˌθiː.əˈlɒdʒ.ɪ.kəl]
tajný,undercover [ˌʌn.dəˈkʌv.ər]
vegetace,vegetation [ˌvedʒ.ɪˈteɪ.ʃən]
žíla,vein [veɪn]
samet,velvet [ˈvel.vɪt]
účetní,accountant [əˈkaʊn.tənt]
zábavný,amusing [əˈmjuː.zɪŋ]
spatřit,behold [bɪˈhəʊld]
zradit,betray [bɪˈtreɪ]
miliardář,billionaire [ˌbɪl.jəˈneər]
vařit,brew [bruː]
bypass,bypass [ˈbaɪ.pɑːs]
zrušení,cancellation [ˌkæn.səlˈeɪ.ʃən]
třtina,cane [keɪn]
katalyzátor,catalyst [ˈkæt.əl.ɪst]
cedr,cedar [ˈsiː.dər]
mrtvola,corpse [kɔːps]
krab,crab [kræb]
krutost,cruelty [ˈkruː.əl.ti]
demence,dementia [dɪˈmen.ʃə]
označení,designation [ˌdez.ɪɡˈneɪ.ʃən]
kostky,dice [daɪs]
diplom,diploma [dɪˈpləʊ.mə]
odeslat,dispatch [dɪˈspætʃ]
vévodkyně,duchess [ˈdʌtʃ.es]
zánik,extinction [ɪkˈstɪŋk.ʃən]
fólie,foil [fɔɪl]
geologie,geology [dʒiˈɒl.ə.dʒi]
gram,gram [ɡræm]
vřesoviště,heath [hiːθ]
nebeský,heavenly [ˈhev.ən.li]
strašný,horrific [həˈrɪf.ɪk]
Neurální,neural [ˈnjʊə.rəl]
bulletin,newsletter [ˈnjuːzˌlet.ər]
devatenáctý,nineteenth [ˌnaɪnˈtiːnθ]
dusík,nitrogen [ˈnaɪ.trə.dʒən]
mzdy,payroll [ˈpeɪ.rəʊl]
fenomenální,phenomenal [fəˈnɒm.ɪ.nəl]
fotografický,photographic [ˌfəʊ.təˈɡræf.ɪk]
špetka,pinch [pɪntʃ]
ping,ping [pɪŋ]
předvídatelný,predictable [prɪˈdɪk.tə.bəl]
profesionálně,professionally [prəˈfeʃ.ən.əl.i]
queer,queer [kwɪər]
odskočit,rebound [ˌriːˈbaʊnd]
počítat,reckon [ˈrek.ən]
vzkříšení,resurrection [ˌrez.ərˈek.ʃən]
Rover,rover [ˈrəʊ.vər]
Zásilka,shipment [ˈʃɪp.mənt]
coura,slut [slʌt]
prostorový,spatial [ˈspeɪ.ʃəl]
nerez,stainless [ˈsteɪn.ləs]
statutární,statutory [ˈstætʃ.ə.tər.i]
hvězdný,stellar [ˈstel.ər]
proužek,stripe [straɪp]
tvrdohlavý,stubborn [ˈstʌb.ən]
přivolat,summon [ˈsʌm.ən]
sirup,syrup [ˈsɪr.əp]
těsně,tightly [ˈtaɪt.li]
transplantace,transplant [trænˈsplɑːnt]
Tu,tu [tuˌwɪt tuˈwuː]
rašelina,turf [tɜːf]
škubnutí,twitch [twɪtʃ]
odemčený,unlocked [ʌnˈlɒk]
neobvykle,unusually [ʌnˈjuː.ʒu.ə.li]
odhalit,unveil [ʌnˈveɪl]
sopka,volcano [vɒlˈkeɪ.nəʊ]
svatba,wedding [ˈwed.ɪŋ]
urychlit,accelerate [əkˈsel.ə.reɪt]
dosažení,accomplishment [əˈkʌm.plɪʃ.mənt]
inzerovat,advertise [ˈæd.və.taɪz]
archa,ark [ɑːk]
atom,atom [ˈæt.əm]
čekat,await [əˈweɪt]
vařící,boiling [ˈbɔɪ.lɪŋ]
půjčování,borrowing [ˈbɒr.əʊ.ɪŋ]
zadek,bum [bʌm]
řezník,butcher [ˈbʊtʃ.ər]
početí,conception [kənˈsep.ʃən]
protějšek,counterpart [ˈkaʊn.tə.pɑːt]
tágo,cue [kjuː]
disciplinární,disciplinary [ˌdɪs.əˈplɪn.ər.i]
trpaslík,dwarf [dwɔːf]
enact,enact [ɪˈnækt]
schválení,endorsement [ɪnˈdɔːs.mənt]
získat,enlist [ɪnˈlɪst]
obočí,eyebrow [ˈaɪ.braʊ]
konečný,finite [ˈfaɪ.naɪt]
vlajková loď,flagship [ˈflæɡ.ʃɪp]
forenzní,forensic [fəˈren.zɪk]
nadcházející,forthcoming [ˈfɔːθˌkʌm.ɪŋ]
galon,gallon [ˈɡæl.ən]
glukóza,glucose [ˈɡluː.kəʊs]
Gore,gore [ɡɔːr]
talár,gown [ɡaʊn]
chamtivý,greedy [ˈɡriː.di]
svatozář,halo [ˈheɪ.ləʊ]
ideálně,ideally [aɪˈdɪə.li]
nechvalně proslulý,infamous [ˈɪn.fə.məs]
inspirativní,inspirational [ˌɪn.spɪˈreɪ.ʃən.əl]
vnitřně,internally [ɪnˈtɜː.nəl.i]
postranní,lateral [ˈlæt.ər.əl]
celoživotní,lifelong [ˈlaɪf.lɒŋ]
vápenec,limestone [ˈlaɪm.stəʊn]
Liner,liner [ˈlaɪ.nər]
spojit,merge [mɜːdʒ]
pletivo,mesh [meʃ]
Moron,moron [ˈmɔː.rɒn]
minomet,mortar [ˈmɔː.tər]
naivní,naive [naɪˈiːv]
Nat,nat [næt]
znatelné,noticeable [ˈnəʊ.tɪ.sə.bəl]
parfém,perfume [ˈpɜː.fjuːm]
prestiž,prestige [presˈtiːʒ]
