kvalifikovat se,qualify [ˈkwɒl.ɪ.faɪ]
význam,significance [sɪɡˈnɪf.ɪ.kəns]
mýdlo,soap [səʊp]
sprej,spray [spreɪ]
strukturální,structural [ˈstrʌk.tʃər.əl]
apartmá (vícepokojové),suite [swiːt]
tropický,tropical [ˈtrɒp.ɪ.kəl]
nepotřebný,unnecessary [ʌnˈnes.ə.ser.i]
verš,verse [vɜːs]
vítěz (kniž),victor [ˈvɪk.tər]
vinobraní,vintage [ˈvɪn.tɪdʒ]
varovat,warn [wɔːn]
akr,acre [ˈeɪ.kər]
přizpůsobit se,adapt [əˈdæpt]
přijetí,adoption [əˈdɒp.ʃən]
anonymní,anonymous [əˈnɒn.ɪ.məs]
umělecký,artistic [ɑːˈtɪs.tɪk]
účast,attendance [əˈten.dəns]
letectví,aviation [ˌeɪ.viˈeɪ.ʃən]
sud,barrel [ˈbær.əl]
box,boxing [ˈbɒk.sɪŋ]
sklíčidlo,chuck [tʃʌk]
kino,cinema [ˈsɪn.ə.mɑː]
koloniální,colonial [kəˈləʊ.ni.əl]
vyhovění,compliance [kəmˈplaɪ.əns]
protikladný,contrary [ˈkɒn.trə.ri]
pohovka,couch [kaʊtʃ]
(roz)drtit,crush [krʌʃ]
přehrada,dam [dæm]
pokles,decrease [dɪˈkriːs]
žánr,genre [ˈʒɑ̃ː.rə]
jemný,gentle [ˈdʒen.təl]
gramatika,grammar [ˈɡræm.ər]
ilustrovat,illustrate [ˈɪl.ə.streɪt]
vynalézt,invent [ɪnˈvent]
pronájem (právní ujednání),lease [liːs]
čočka,lens [lenz]
loajalita,loyalty [ˈlɔɪ.əl.ti]
magnetický,magnetic [mæɡˈnet.ɪk]
tajemný,mysterious [mɪˈstɪə.ri.əs]
"představa (názor, mínění)",notion [ˈnəʊ.ʃən]
částečný,partial [ˈpɑː.ʃəl]
krysa,rat [ræt]
odraz,reflection [rɪˈflek.ʃən]
usnést se (form),resolve [rɪˈzɒlv]
revoluční,revolutionary [ˌrev.əˈluː.ʃən.ər.i]
skandál,scandal [ˈskæn.dəl]
svítit,shine [ʃaɪn]
zároveň,simultaneously [ˌsɪm.əlˈteɪ.ni.əs.li]
nahradit,substitute [ˈsʌb.stɪ.tʃuːt]
dohled (dozor),surveillance [səˈveɪ.ləns]
taktika,tactic [ˈtæk.tɪk]
svědectví (u soudu),testimony [ˈtes.tɪ.mən.i]
poklad,treasure [ˈtreʒ.ər]
trofej,trophy [ˈtrəʊ.fi]
být základem,underlie [ˌʌn.dəˈlaɪ]
nečestný,unfair [ʌnˈfeər]
přijetí,acceptance [əkˈsep.təns]
(každo)ročně,annually [ˈæn.ju.ə.li]
omluvit se,apologize [əˈpɒl.ə.dʒaɪz]
popel,ash [æʃ]
teta,aunt [ɑːnt]
bublina,bubble [ˈbʌb.əl]
kupující,buyer [ˈbaɪ.ər]
kasino,casino [kəˈsiː.nəʊ]
rada (form.),counsel [ˈkaʊn.səl]
smrtící,deadly [ˈded.li]
odhodlání,determination [dɪˌtɜː.mɪˈneɪ.ʃən]
objetí,embrace [ɪmˈbreɪs]
vystavovat,exhibit [ɪɡˈzɪb.ɪt]
gentleman,gentleman [ˈdʒen.təl.mən]
kladivo,hammer [ˈhæm.ər]
ikona,icon [ˈaɪ.kɒn]
uvalit,impose [ɪmˈpəʊz]
domorodý,indigenous [ɪnˈdɪdʒ.ɪ.nəs]
nekonečný,infinite [ˈɪn.fɪ.nət]
instalace,installation [ˌɪn.stəˈleɪ.ʃən]
pohřbít,inter [ɪnˈtɜːr]
zákonodárný,legislature [ˈledʒ.ɪ.slə.tʃʊər]
náchylnost (sklon),liability [ˌlaɪ.əˈbɪl.ə.ti]
navíc,moreover [ˌmɔːˈrəʊ.vər]
naše,ours [aʊəz]
slavnostní průvod,parade [pəˈreɪd]
ráj,paradise [ˈpær.ə.daɪs]
předběžný,preliminary [prɪˈlɪm.ɪ.nər.i]
premiéra,premiere [ˈprem.i.eər]
prezidentství,presidency [ˈprez.ɪ.dən.si]
(za)reagovat,react [riˈækt]
realistický,realistic [ˌrɪəˈlɪs.tɪk]
poznámka (ústní),remark [rɪˈmɑːk]
zapamatovat si,retain [rɪˈteɪn]
skalnatý,rocky [ˈrɒk.i]
uspokojení,satisfaction [ˌsæt.ɪsˈfæk.ʃən]
škrábanec,scratch [skrætʃ]
odstín,shade [ʃeɪd]
šerif,sheriff [ˈʃer.ɪf]
plachý,shy [ʃaɪ]
někdy,sometime [ˈsʌm.taɪm]
striktně,strictly [ˈstrɪkt.li]
sluneční záře,sunshine [ˈsʌn.ʃaɪn]
hlasitý (důrazně vyjádřený),vocal [ˈvəʊ.kəl]
plodit (úrodu ap.),yield [jiːld]
vstup (povolení vstoupit),admission [ədˈmɪʃ.ən]
také známý jako,aka [ˌeɪ.keɪˈeɪ]
slanina,bacon [ˈbeɪ.kən]
bariéra,barrier [ˈbær.i.ər]
prasknout,burst [bɜːst]
(hovězí) dobytek,cattle [ˈkæt.əl]
třída (školní místnost),classroom [ˈklɑːs.ruːm]
kompromis,compromise [ˈkɒm.prə.maɪz]
vhodný,convenient [kənˈviː.ni.ənt]
plodina,crop [krɒp]
zemětřesení,earthquake [ˈɜːθ.kweɪk]
(po)starší,elderly [ˈel.dəl.i]
odstranit,eliminate [iˈlɪm.ɪ.neɪt]
uvést do rozpaků,embarrass [ɪmˈbær.əs]
přístav,harbor [ˈhɑː.bər]
ion(t),ion [ˈaɪ.ɒn]
lék (umělé),medication [ˌmed.ɪˈkeɪ.ʃən]
portfolio,portfolio [ˌpɔːtˈfəʊ.li.əʊ]
produktivita,productivity [ˌprɒd.ʌkˈtɪv.ə.ti]
protokol,protocol [ˈprəʊ.tə.kɒl]
tiše,quietly [ˈkwaɪət.li]
promítání,screening [ˈskriː.nɪŋ]
polévka,soup [suːp]
jihovýchod,southeast [ˌsaʊθˈiːst]
kůl (zatlučený),stake [steɪk]
nápor (zátěže),strain [streɪn]
rychlý (pohyb ap.),swift [swɪft]
vyříkat si (otevřeně promluvit s),tackle [ˈtæk.əl]
mučit,torture [ˈtɔː.tʃər]
přeložit (do jiného jazyka),translate [trænzˈleɪt]
naléhavý,urgent [ˈɜː.dʒənt]
zelenina,vegetable [ˈvedʒ.tə.bəl]
svislý,vertical [ˈvɜː.tɪ.kəl]
porušení (zákona ap.),violation [ˌvaɪ.əˈleɪ.ʃən]
(pánská) peněženka,wallet [ˈwɒl.ɪt]
velština,welsh [welʃ]
dílna,workshop [ˈwɜːk.ʃɒp]
na palubě,aboard [əˈbɔːd]
abstraktní,abstract [ˈæb.strækt]
přízvuk,accent [ˈæk.sənt]
závislost,addiction [əˈdɪk.ʃən]
probudit se (kniž),awake [əˈweɪk]
trám,beam [biːm]
fazole,bean [biːn]
prázdný,blank [blæŋk]
bizon,buffalo [ˈbʌf.ə.ləʊ]
přesvědčení,conviction [kənˈvɪk.ʃən]
zkorumpovaný,corrupt [kəˈrʌpt]
kráva,cow [kaʊ]
křivka,curve [kɜːv]
deprimovaný,depressed [dɪˈprest]
zasloužený,deserved [dɪˈzɜːvd]
(doba) trvání,duration [dʒʊəˈreɪ.ʃən]
babička,grandmother [ˈɡræn.mʌð.ər]
drsný,harsh [hɑːʃ]
klakson,horn [hɔːn]
spěchat,hurry [ˈhʌr.i]
imunní,immune [ɪˈmjuːn]
inflace,inflation [ɪnˈfleɪ.ʃən]
přísada,ingredient [ɪnˈɡriː.di.ənt]
prohlídka,inspection [ɪnˈspek.ʃən]
(na)instalovat,install [ɪnˈstɔːl]
intenzita,intensity [ɪnˈten.sə.ti]
inventář,inventory [ˈɪn.vən.tər.i]
pozvání,invitation [ˌɪn.vɪˈteɪ.ʃən]
soudní,judicial [dʒuːˈdɪʃ.əl]
ospravedlnit,justify [ˈdʒʌs.tɪ.faɪ]
štíhlý,lean [liːn]
přednáška,lecture [ˈlek.tʃər]
smysluplný,meaningful [ˈmiː.nɪŋ.fəl]
migrace,migration [maɪˈɡreɪ.ʃən]
raketa (reaktivní střela),missile [ˈmɪs.aɪl]
orgán,organ [ˈɔː.ɡən]
hlídkovat,patrol [pəˈtrəʊl]
perla,pearl [pɜːl]
pepř,pepper [ˈpep.ər]
prase,pig [pɪɡ]
hromada,pile [paɪl]
ucpat,plug [plʌɡ]
poskytnutí,provision [prəˈvɪʒ.ən]
zrevidovat,revise [rɪˈvaɪz]
prut,rod [rɒd]
schod,stair [steər]
zírat,stare [steər]
statistický,statistical [stəˈtɪs.tɪ.kəl]
cizinec,stranger [ˈstreɪn.dʒər]
pot,sweat [swet]
tetování,tattoo [təˈtuː]
náctiletý,teenage [ˈtiːn.eɪdʒ]
hrom,thunder [ˈθʌn.dər]
tragédie,tragedy [ˈtrædʒ.ə.di]
trauma,trauma [ˈtrɔː.mə]
zápas(ení),wrestling [ˈres.lɪŋ]
zoo,zoo [zuː]
soulad (vyhovování požadavku),accordance [əˈkɔː.dəns]
aktivista,activist [ˈæk.tɪ.vɪst]
podobný (vzájemně),alike [əˈlaɪk]
použitelný (pro daný případ),applicable [əˈplɪk.ə.bəl]
šipka (směrovka),arrow [ˈær.əʊ]
dostupnost (k mání),availability [əˌveɪ.ləˈbɪl.ə.ti]
ohnout se (zkřivit se),bend [bend]
porušit (nedodržet),breach [briːtʃ]
kajuta,cabin [ˈkæb.ɪn]
klec (pro zvíře),cage [keɪdʒ]
povzbuzovat,cheer [tʃɪər]
skříň,closet [ˈklɒz.ɪt]
společník,companion [kəmˈpæn.jən]
uvědomění,consciousness [ˈkɒn.ʃəs.nəs]
konzultant,consultant [kənˈsʌl.tənt]
ovladač (ovládací zařízení),controller [kənˈtrəʊ.lər]
odpovídat (souhlasit),correspond [ˌkɒr.ɪˈspɒnd]
bezplatný (služba zákazníkům ap.),courtesy [ˈkɜː.tə.si]
kotouč,disc [dɪsk]
velvyslanectví,embassy [ˈem.bə.si]
fascinující,fascinating [ˈfæs.ən.eɪ.tɪŋ]
vina,guilt [ɡɪlt]
útočiště (azyl),haven [ˈheɪ.vən]
vrtulník,helicopter [ˈhel.ɪˌkɒp.tər]
domácí úkol,homework [ˈhəʊm.wɜːk]
ikonický,iconic [aɪˈkɒn.ɪk]
nakazit (nemocí),infect [ɪnˈfekt]
nadšený (zapálený),keen [kiːn]
povinný (předepsaný),mandatory [ˈmæn.də.tər.i]
(průmyslová) výroba,manufacture [ˌmæn.jəˈfæk.tʃər]
mechanik,mechanic [məˈkæn.ɪk]
pouhý (nevýznamný vzhledem k situaci),mere [mɪər]
zázrak,miracle [ˈmɪr.ə.kəl]
bláto,mud [mʌd]
pozorování,observation [ˌɒb.zəˈveɪ.ʃən]
dlužit,owe [əʊ]
jev,phenomenon [fəˈnɒm.ɪ.nən]
přesný,precise [prɪˈsaɪs]
povolání (obor),profession [prəˈfeʃ.ən]
vyhlídka (do budoucna),prospect [ˈprɒs.pekt]
ochranný (opatření),protective [prəˈtek.tɪv]
poskytovatel,provider [prəˈvaɪ.dər]
nakladatel,publisher [ˈpʌb.lɪ.ʃər]
údajně (dle zpráv),reportedly [rɪˈpɔː.tɪd.li]
ustoupit (před nepřítelem),retreat [rɪˈtriːt]
zelenáč,rookie [ˈrʊk.i]
sendvič,sandwich [ˈsæn.wɪdʒ]
oddělení (odloučení),separation [ˌsep.ərˈeɪ.ʃən]
pohlavně,sexually [ˈsek.ʃu.əl.i]
lyže,ski [skiː]
chirurg,surgeon [ˈsɜː.dʒən]
krádež,theft [θeft]
ventil,valve [vælv]
vízum,visa [ˈviː.zə]
sousední (přilehlý),adjacent [əˈdʒeɪ.sənt]
uznání (ocenění),appreciation [əˌpriː.ʃiˈeɪ.ʃən]
atletické postavy,athletic [æθˈlet.ɪk]
povolit,authorize [ˈɔː.θər.aɪz]
transparent (se sloganem ap.),banner [ˈbæn.ər]
půvab,charm [tʃɑːm]
horolezectví,climbing [ˈklaɪ.mɪŋ]
kolonie,colony [ˈkɒl.ə.ni]
krutý,cruel [ˈkruː.əl]
studijní plán,curriculum [kəˈrɪk.jə.ləm]
uzávěrka,deadline [ˈded.laɪn]
vysoká (zvěř),deer [dɪər]
delta,delta [ˈdel.tə]
ponor (potápěčský),dive [daɪv]
jedenáct,eleven [ɪˈlev.ən]
entita,entity [ˈen.tɪ.ti]
nadměrný (přílišný),excessive [ekˈses.ɪv]
feminist(k)a,feminist [ˈfem.ɪ.nɪst]
vládnout (zemi),govern [ˈɡʌv.ən]
šunka,ham [hæm]
(vy)léčit (se),heal [hiːl]
rozhraní,interface [ˈɪn.tə.feɪs]
šperky,jewelry [ˈdʒuː.əl.ri]
žurnalistika,journalism [ˈdʒɜː.nə.lɪ.zəm]
džungle,jungle [ˈdʒʌŋ.ɡəl]
přímočarý,linear [ˈlɪn.i.ər]
občasný,occasional [əˈkeɪ.ʒən.əl]
orientovat se,orient [ˈɔː.ri.ənt]
předpovědět,predict [prɪˈdɪkt]
honba,pursuit [pəˈsjuːt]
rap,rap [ræp]
připomínka,reminder [rɪˈmaɪn.dər]
pokračovat (po přerušení),resume [rɪˈzjuːm]
"hřeben (hory, střechy)",ridge [rɪdʒ]
učenec,scholar [ˈskɒl.ər]
kmen,tribe [traɪb]
proměnná,variable [ˈveə.ri.ə.bəl]
znepokojivý,worrying [ˈwʌr.i.ɪŋ]
eso,ace [eɪs]
upravit (uzpůsobit),adjust [əˈdʒʌst]
střídat se (každý jednou),alternate [ˈɒl.tə.neɪt]
přitažlivost,attraction [əˈtræk.ʃən]
"zlato, miláčku, drahoušku (oslovení partnera)",babe [beɪb]
bankrot,bankruptcy [ˈbæŋ.krəpt.si]
schopnost,capability [ˌkeɪ.pəˈbɪl.ə.ti]
uzávěr,closure [ˈkləʊ.ʒər]
kognitivní,cognitive [ˈkɒɡ.nə.tɪv]
konkurent,competitor [kəmˈpet.ɪ.tər]
obránce (hrací post),defender [dɪˈfen.dər]
zubní,dental [ˈden.təl]
diplomatický,diplomatic [ˌdɪp.ləˈmæt.ɪk]
buben,drum [drʌm]
redakční,editorial [ˌed.ɪˈtɔː.ri.əl]
(po)bavit,entertain [en.təˈteɪn]
věčný (stále trvající),eternal [ɪˈtɜː.nəl]
zmrazit,freeze [friːz]
obecný,generic [dʒəˈner.ɪk]
babička,grandma [ˈɡræn.mɑː]
sevření (uchopení),grip [ɡrɪp]
hrst (množství),handful [ˈhænd.fʊl]
pokorný,humble [ˈhʌm.bəl]
kříženec,hybrid [ˈhaɪ.brɪd]
klávesnice,keyboard [ˈkiː.bɔːd]
mírný (intenzita),mild [maɪld]
minimální,minimal [ˈmɪn.ɪ.məl]
molekulární,molecular [məˈlek.jə.lər]
poledne,noon [nuːn]
v současné době,nowadays [ˈnaʊ.ə.deɪz]
otevřeně (bez skrývání),openly [ˈəʊ.pən.li]
(obecný) přehled,overview [ˈəʊ.və.vjuː]
farnost,parish [ˈpær.ɪʃ]
ubohý,pathetic [pəˈθet.ɪk]
brambor,potato [pəˈteɪ.təʊ]
hrnčíř,potter [ˈpɒt.ər]
přednost (priorita),preference [ˈpref.ər.əns]
slibný,promising [ˈprɒm.ɪ.sɪŋ]
podíl (část celku),proportion [prəˈpɔː.ʃən]
zuřit,rage [reɪdʒ]
obnovení,restoration [ˌres.tərˈeɪ.ʃən]
sobecký,selfish [ˈsel.fɪʃ]
seržant,sergeant [ˈsɑː.dʒənt]
hedvábí,silk [sɪlk]
známka (poštovní ap.),stamp [stæmp]
trůn,throne [θrəʊn]
nutkání,urge [ɜːdʒ]
čarodějnice,witch [wɪtʃ]
archiv,archive [ˈɑː.kaɪv]
pole (v programování),array [əˈreɪ]
břicho,belly [ˈbel.i]
stánek,booth [buːð]
zhroucení,breakdown [ˈbreɪk.daʊn]
brutální,brutal [ˈbruː.təl]
(vy)počítat,calculate [ˈkæl.kjə.leɪt]
vačka,cam [kæm]
občanství,citizenship [ˈsɪt.ɪ.zən.ʃɪp]
útes,cliff [klɪf]
shoda (všeobecná),consensus [kənˈsen.səs]
cyklistika,cycling [ˈsaɪ.klɪŋ]
prohlášení,declaration [ˌdek.ləˈreɪ.ʃən]
derby,derby [ˈdɑː.bi]
rozdíl (rozlišení),distinction [dɪˈstɪŋk.ʃən]
dar (příspěvek charitě ap.),donation [dəʊˈneɪ.ʃən]
obličejový,facial [ˈfeɪ.ʃəl]
věrný (citově ap.),faithful [ˈfeɪθ.fəl]
osudný,fatal [ˈfeɪ.təl]
fík,fig [fɪɡ]
padnoucí,fitting [ˈfɪt.ɪŋ]
opravdu (skutečně),genuinely [ˈdʒen.ju.ɪn.li]
hlad,hunger [ˈhʌŋ.ɡər]
hurikán,hurricane [ˈhʌr.ɪ.kən]
inovační,innovative [ˈɪn.ə.və.tɪv]
jurisdikce,jurisdiction [ˌdʒʊə.rɪsˈdɪk.ʃən]
smích,laughter [ˈlɑːf.tər]
citrón,lemon [ˈlem.ən]
nakládání (zboží ap.),loading [ˈləʊdɪŋ]
plíce,lung [lʌŋ]
přiřazování (do dvojic),matching [ˈmætʃ.ɪŋ]
mohutný (impozantně),mighty [ˈmaɪ.ti]
měnový,monetary [ˈmʌn.ɪ.tri]
výživa,nutrition [njuːˈtrɪʃ.ən]
ruda,ore [ɔːr]
borovice,pine [paɪn]
špatně (nekvalitně),poorly [ˈpɔː.li]
póza,pose [pəʊz]
(na)lít,pour [pɔːr]
ryze,purely [ˈpjʊə.li]
pronájem (auta ap. též),rental [ˈren.təl]
zdánlivě,seemingly [ˈsiː.mɪŋ.li]
vážně (kriticky),severely [sɪˈvɪə.li]
žralok,shark [ʃɑːk]
přeživší,survivor [səˈvaɪ.vər]
po technické stránce,technically [ˈtek.nɪ.kəl.i]
neomezený,unlimited [ʌnˈlɪm.ɪ.tɪd]
úzkostlivý,anxious [ˈæŋk.ʃəs]
včela,bee [biː]
cigareta,cigarette [ˌsɪɡ.ərˈet]
kultovní,cult [kʌlt]
mlékárna,dairy [ˈdeə.ri]
miláček,darling [ˈdɑː.lɪŋ]
požitek,delight [dɪˈlaɪt]
deník,diary [ˈdaɪə.ri]
nesouhlasit,disagree [ˌdɪs.əˈɡriː]
vrtačka,drill [drɪl]
vyvinout,evolve [ɪˈvɒlv]
předpověď (počasí ap.),forecast [ˈfɔː.kɑːst]
správa ,governance [ˈɡʌv.ən.əns]
obejmout,hug [hʌɡ]
významně (důležitě),importantly [ɪmˈpɔː.tənt.li]
halový,indoor [ˌɪnˈdɔːr]
vlivný,influential [ˌɪn.fluˈen.ʃəl]
neviditelný,invisible [ɪnˈvɪz.ə.bəl]
soudní řízení,lawsuit [ˈlɔː.suːt]
prosáknout (nádoba),leak [liːk]
hudebník,musician [mjuːˈzɪʃ.ən]
oliva,olive [ˈɒl.ɪv]
vášnivý,passionate [ˈpæʃ.ən.ət]
přijímač,receiver [rɪˈsiː.vər]
nepokoje (výtržnosti ap.),riot [ˈraɪ.ət]
rozpis služeb,roster [ˈrɒs.tər]
lebka,skull [skʌl]
"fyzický otvor (štěrbina, otvor, šachta ap.)",slot [slɒt]
rozmlátit,smash [smæʃ]
socha,statue [ˈstætʃ.uː]
překvapivě,surprisingly [səˈpraɪ.zɪŋ.li]
kapitulovat,surrender [sərˈen.dər]
podezřelý,suspicious [səˈspɪʃ.əs]
něžný,tender [ˈten.dər]
důkladně,thoroughly [ˈθʌr.ə.li]
vakuum,vacuum [ˈvæk.juːm]
variace,variation [ˌveə.riˈeɪ.ʃən]
(nepodložené) obvinění,allegation [ˌæl.əˈɡeɪ.ʃən]
předvídat,anticipate [ænˈtɪs.ɪ.peɪt]
architekt,architect [ˈɑː.kɪ.tekt]
povodí,basin [ˈbeɪ.sən]
prospěšný,beneficial [ˌben.ɪˈfɪʃ.əl]
krvácet,bleed [bliːd]
plemeno (zvířecí),breed [briːd]
nevěsta,bride [braɪd]
pupen,bud [bʌd]
majordomus,butler [ˈbʌt.lər]
kreslený film,cartoon [kɑːˈtuːn]
kuřátko,chick [tʃɪk]
koks,coke [kəʊk]
srovnatelný,comparable [ˈkɒm.pər.ə.bəl]
potvrzení,confirmation [ˌkɒn.fəˈmeɪ.ʃən]
utěšit,console [kənˈsəʊl]
dodavatel (zhotovitel zakázky),contractor [kənˈtræk.tər]
průměr (rozměr),diameter [daɪˈæm.ɪ.tər]
skládka,dump [dʌmp]
duo,duo [ˈdʒuː.əʊ]
slon,elephant [ˈel.ɪ.fənt]
zlepšit (zvýraznit kvalitu),enhance [ɪnˈhɑːns]
vyčerpaný,exhausted [ɪɡˈzɔː.stɪd]
tkanina,fabric [ˈfæb.rɪk]
pohádkový (expr. nádherný),fabulous [ˈfæb.jə.ləs]
víla,fairy [ˈfeə.ri]
záhyb,fold [fəʊld]
podivín,freak [friːk]
hazard(riskantní hra),gambling [ˈɡæm.blɪŋ]
jemně,gently [ˈdʒent.li]
překrásný,glorious [ˈɡlɔː.ri.əs]
zármutek,grief [ɡriːf]
nevyhnutelný,inevitable [ɪˈnev.ɪ.tə.bəl]
rozvržení,layout [ˈleɪ.aʊt]
chata,lodge [lɒdʒ]
zásluha,merit [ˈmer.ɪt]
zdrcující (naprosto převažující),overwhelming [ˌəʊ.vəˈwel.mɪŋ]
bledý,pale [peɪl]
částice,particle [ˈpɑː.tɪ.kəl]
farář,pastor [ˈpɑː.stər]
trvale,permanently [ˈpɜː.mə.nənt.li]
jed,poison [ˈpɔɪ.zən]
provinční,provincial [prəˈvɪn.ʃəl]
rebel,rebel [ˈreb.əl]
otáčení,rotation [rəʊˈteɪ.ʃən]
odděleně,separately [ˈsep.ər.ət.li]
nepatrný (sotva znatelný),subtle [ˈsʌt.əl]
mýtné,toll [təʊl]
tragický,tragic [ˈtrædʒ.ɪk]
trenér,trainer [ˈtreɪ.nər]
proměnit (se),transform [trænsˈfɔːm]
neuvěřitelný,unbelievable [ˌʌn.bɪˈliː.və.bəl]
pod (bezprostředně),underneath [ˌʌn.dəˈniːθ]
virový,viral [ˈvaɪə.rəl]
