hřeben,comb [kəʊm]
vyslýchat,interrogate [ɪnˈter.ə.ɡeɪt]
žertem,jokingly [ˈdʒəʊ.kɪŋ.li]
směšný,laughable [ˈlɑː.fə.bəl]
místo,locus [ˈləʊ.kəs]
provizorní,makeshift [ˈmeɪk.ʃɪft]
stan,marquee [mɑːˈkiː]
masturbovat,masturbate [ˈmæs.tə.beɪt]
matematicky,mathematically [ˌmæθˈmæt.ɪ.kəl.i]
Melanom,melanoma [ˌmel.əˈnəʊ.mə]
hrozivý,menacing [ˈmen.ɪ.sɪŋ]
mikrob,microbe [ˈmaɪ.krəʊb]
mobilizovat,mobilize [ˈməʊ.bɪ.laɪz]
narození,nativity [nəˈtɪv.ə.ti]
kout,nook [nʊk]
výživný,nutritious [njuːˈtrɪʃ.əs]
Overdrive,overdrive [ˈəʊ.və.draɪv]
polstrování,padding [ˈpæd.ɪŋ]
vědcovství,penitentiary [ˌpen.ɪˈten.ʃər.i]
nebezpečný,perilous [ˈper.əl.əs]
trhat,pluck [plʌk]
polytechnický,polytechnic [ˌpɒl.ɪˈtek.nɪk]
lidově,popularly [ˈpɒp.jə.lə.li]
pornografický,pornographic [ˌpɔː.nəˈɡræf.ɪk]
Posse,posse [ˈpɒs.i]
chlazení,refrigeration [rɪˌfrɪdʒ.əˈreɪ.ʃən]
odporný,repulsive [rɪˈpʌl.sɪv]
odklad,respite [ˈres.paɪt]
šavle,saber [ˈseɪ.bər]
sadistický,sadistic [səˈdɪs.tɪk]
Samba,samba [ˈsæm.bə]
Shaggy,shaggy [ˈʃæɡ.i]
Sitter,sitter [ˈsɪt.ər]
sklon,slant [slɑːnt]
bezesný,sleepless [ˈsliːp.ləs]
slur,slur [slɜːr]
sněhová koule,snowball [ˈsnəʊ.bɔːl]
síra,sulphur [ˈsʌl.fər]
polévková lžíce,tablespoon [ˈteɪ.bəl.spuːn]
lepkavý,tacky [ˈtæk.i]
manipulace,tamper [ˈtæm.pər]
terminus,terminus [ˈtɜː.mɪ.nəs]
varle,testicle [ˈtes.tɪ.kəl]
rozmrazit,thaw [θɔː]
propustnost,throughput [ˈθruː.pʊt]
tout,tout [taʊt]
stativ,tripod [ˈtraɪ.pɒd]
tulipán,tulip [ˈtʃuː.lɪp]
mýto,turnpike [ˈtɜːn.paɪk]
bez dozoru,unattended [ˌʌn.əˈten.dɪd]
nepřekonatelný,unbeatable [ʌnˈbiː.tə.bəl]
Undertaker,undertaker [ˈʌn.dəˌteɪ.kər]
uniformovaný,uniformed [ˈjuː.nɪ.fɔːmd]
vyloženo,unloaded [ʌnˈləʊd]
sup,vulture [ˈvʌl.tʃər]
Absentee,absentee [ˌæb.sənˈtiː]
ocenění,accolade [ˈæk.ə.leɪd]
neoficiální,anecdotal [ˌæn.ɪkˈdəʊ.təl]
anémie,anemia [əˈniː.mi.ə]
nepřátelství,animosity [ˌæn.ɪˈmɒs.ə.ti]
bombardovat,bombard [bɒmˈbɑːd]
kalibrovat,calibrate [ˈkæl.ɪ.breɪt]
upoutat,captivate [ˈkæp.tɪ.veɪt]
Centrist,centrist [ˈsen.trɪst]
šofér,chauffeur [ˈʃəʊ.fər]
duchovní,clergyman [ˈklɜː.dʒi.mən]
představitelný,conceivable [kənˈsiː.və.bəl]
přehlížet,condone [kənˈdəʊn]
vysvětit,consecrate [ˈkɒn.sɪ.kreɪt]
kontaminant,contaminant [kənˈtæm.ɪ.nənt]
sousedící,contiguous [kənˈtɪɡ.ju.əs]
Radní,councilman [ˈkaʊn.səl.mən]
brusinka,cranberry [ˈkræn.bər.i]
políčko,croft [krɒft]
pudink,custard [ˈkʌs.təd]
klamání,deceiving [dɪˈsiːv]
definitivně,definitively [dɪˈfɪn.ɪ.tɪv.li]
odklonit,deflect [dɪˈflekt]
uvažování,deliberation [dɪˌlɪb.əˈreɪ.ʃən]
pustý,desolate [ˈdes.əl.ət]
pohltit,devour [dɪˈvaʊər]
bagr,digger [ˈdɪɡ.ər]
odzbrojení,disarmament [dɪˈsɑː.mə.mənt]
divergence,divergence [daɪˈvɜː.dʒəns]
ochočit,domesticate [dəˈmes.tɪ.keɪt]
dvojnásobně,doubly [ˈdʌb.li]
kobliha,doughnut [ˈdəʊ.nʌt]
rovnocennost,equivalence [ɪˈkwɪv.əl.əns]
esoterický,esoteric [ˌiː.səˈter.ɪk]
euthanasie,euthanasia [ˌjuː.θəˈneɪ.zi.ə]
zločinec,felon [ˈfel.ən]
hořlavý,flammable [ˈflæm.ə.bəl]
granát,garnet [ˈɡɑː.nɪt]
grapefruit,grapefruit [ˈɡreɪp.fruːt]
rošt,grate [ɡreɪt]
chrt,greyhound [ˈɡreɪ.haʊnd]
kadeřník,hairdresser [ˈheəˌdres.ər]
tvrdost,hardness [ˈhɑːd.nəs]
kopcovitý,hilly [ˈhɪl.i]
Hone,hone [həʊn]
pokorně,humbly [ˈhʌm.bli]
podněcovat,incite [ɪnˈsaɪt]
nepochopitelný,incomprehensible [ɪnˌkɒm.prɪˈhen.sə.bəl]
setrvačnost,inertia [ɪˈnɜː.ʃə]
zamoření,infestation [ˌɪn.fesˈteɪ.ʃən]
povstání,insurrection [ˌɪn.sərˈek.ʃən]
nesnesitelné,intolerable [ɪnˈtɒl.ər.ə.bəl]
lenost,laziness [ˈleɪ.zi.nəs]
pijavice,leech [liːtʃ]
šíleně,madly [ˈmæd.li]
bídně,miserably [ˈmɪz.ər.ə.bli]
zmrzačení,mutilation [ˌmjuː.tɪˈleɪ.ʃən]
šikovný,nifty [ˈnɪf.ti]
pelikán,pelican [ˈpel.ɪ.kən]
důchodce,pensioner [ˈpen.ʃən.ər]
Piazza,piazza [piˈæt.sə]
POM,pom [pɒm]
přivlastňovací,possessive [pəˈzes.ɪv]
prefektura,prefecture [ˈpriː.fek.tʃər]
domýšlivý,pretentious [prɪˈten.ʃəs]
promenáda,promenade [ˌprɒm.əˈnɑːd]
vztah,rapport [ræpˈɔːr]
extáze,rapture [ˈræp.tʃər]
zpustošení,ravage [ˈræv.ɪdʒ]
znovu připojit,reconnect [ˌriː.kəˈnekt]
opravit,rectify [ˈrek.tɪ.faɪ]
základní,rudimentary [ˌruː.dɪˈmen.tər.i]
scénárista,screenwriter [ˈskriːnˌraɪ.tər]
volič,selector [sɪˈlek.tər]
šátek,shawl [ʃɔːl]
šilink,shilling [ˈʃɪl.ɪŋ]
zahalit,shroud [ʃraʊd]
Skim,skim [skɪm]
obžaloba,solicitation [səˌlɪs.ɪˈteɪ.ʃən]
pravobok,starboard [ˈstɑː.bəd]
nahradit,supersede [ˌsuː.pəˈsiːd]
vír,swirl [swɜːl]
traumatizovat,traumatize [ˈtrɔː.mə.taɪz]
blikat,twinkle [ˈtwɪŋ.kəl]
nepředvídané,unforeseen [ˌʌn.fəˈsiːn]
nevyslovený,unspoken [ʌnˈspəʊ.kən]
komorník,valet [ˈvæl.eɪ]
vehementně,vehemently [ˈviː.ə.mənt.li]
vendeta,vendetta [venˈdet.ə]
slabě,weakly [ˈwiːk.li]
Wiener,wiener [ˈwiː.nər]
radní,alderman [ˈɔːl.də.mən]
odcizení,alienation [ˌeɪ.li.əˈneɪ.ʃən]
otěr,attrition [əˈtrɪʃ.ən]
autopilot,autopilot [ˈɔː.təʊˌpaɪ.lət]
vydutý,baggy [ˈbæɡ.i]
zátěž,ballast [ˈbæl.əst]
rozpočtový,budgetary [ˈbʌdʒ.ɪ.tər.i]
rušný,bustling [ˈbʌs.lɪŋ]
pečovatel,carer [ˈkeə.rər]
klišé,cliche [ˈkliː.ʃeɪ]
šváb,cockroach [ˈkɒk.rəʊtʃ]
těžkopádný,cumbersome [ˈkʌm.bə.səm]
Curt,curt [kɜːt]
cyklický,cyclic [ˈsɪk.lɪk]
cyklické,cyclical [ˈsɪk.lɪ.kəl]
odečíst,deduct [dɪˈdʌkt]
deformace,deformation [ˌdiː.fɔːˈmeɪ.ʃən]
oddané,devotional [dɪˈvəʊ.ʃən.əl]
zdvojení,duplication [ˌdjuː.plɪˈkeɪ.ʃən]
dynamo,dynamo [ˈdaɪ.nə.məʊ]
elixír,elixir [iˈlɪk.sər]
oční víčko,eyelid [ˈaɪ.lɪd]
bajka,fable [ˈfeɪ.bəl]
palivové dříví,firewood [ˈfaɪə.wʊd]
předvídavost,foresight [ˈfɔː.saɪt]
opustit,forsake [fɔːˈseɪk]
fundamentalista,fundamentalist [ˌfʌn.dəˈmen.təl.ɪst]
ochromit,hamstring [ˈhæm.strɪŋ]
podkova,horseshoe [ˈhɔːs.ʃuː]
řez,incision [ɪnˈsɪʒ.ən]
nerozeznatelný,indistinguishable [ˌɪn.dɪˈstɪŋ.ɡwɪ.ʃə.bəl]
usoudit,infer [ɪnˈfɜːr]
lůžkový,inpatient [ˈɪn.peɪ.ʃənt]
invitational,invitational [ˌɪn.vɪˈteɪ.ʃən.əl]
Kennel,kennel [ˈken.əl]
ležák,lager [ˈlɑː.ɡər]
zeman,laird [leəd]
nenávist,loathe [ləʊð]
loajalista,loyalist [ˈlɔɪ.ə.lɪst]
mužství,manhood [ˈmæn.hʊd]
mučednictví,martyrdom [ˈmɑː.tə.dəm]
menopauza,menopause [ˈmen.ə.pɔːz]
zmrzačit,mutilate [ˈmjuː.tɪ.leɪt]
vaječník,ovary [ˈəʊ.vər.i]
zjevně,overtly [əʊˈvɜːt.li]
bezbolestný,painless [ˈpeɪn.ləs]
neustále,perpetually [pəˈpetʃ.u.ə.li]
prenatální,prenatal [ˌpriːˈneɪ.təl]
Probate,probate [ˈprəʊ.beɪt]
obstarat,procure [prəˈkjʊər]
sklon,propensity [prəˈpen.sə.ti]
přetvořit,remodel [ˌriːˈmɒd.əl]
růženec,rosary [ˈrəʊ.zər.i]
lest,ruse [ruːz]
seniority,seniority [ˌsiː.niˈɒr.ə.ti]
odstupné,severance [ˈsev.ər.əns]
pochva,sheath [ʃiːθ]
těsnopis,shorthand [ˈʃɔːt.hænd]
jedinečnost,singularity [ˌsɪŋ.ɡjəˈlær.ə.ti]
socializovat,socialize [ˈsəʊ.ʃəl.aɪz]
sportovec,sportsman [ˈspɔːts.mən]
přímo,squarely [ˈskweə.li]
nevlastní matka,stepmother [ˈstepˌmʌð.ər]
vzpěra,strut [strʌt]
podlehnout,succumb [səˈkʌm]
naparování,swagger [ˈswæɡ.ər]
řemen,thong [θɒŋ]
Thump,thump [θʌmp]
tot,tot [tɒt]
obratník,tropic [ˈtrɒp.ɪk]
car,tsar [zɑːr]
Tycoon,tycoon [taɪˈkuːn]
bezpodmínečně,unconditionally [ˌʌn.kənˈdɪʃ.ən.əl.i]
nekontrolovatelné,uncontrollable [ˌʌn.kənˈtrəʊ.lə.bəl]
nepopiratelně,undeniably [ˌʌn.dɪˈnaɪ.ə.bli]
neortodoxní,unorthodox [ʌnˈɔː.θə.dɒks]
vřava,uproar [ˈʌp.rɔːr]
závrať,vertigo [ˈvɜː.tɪ.ɡəʊ]
bdělost,vigilance [ˈvɪdʒ.əl.əns]
chodník,walkway [ˈwɔː.kweɪ]
větrný mlýn,windmill [ˈwɪnd.mɪl]
obal,wrapper [ˈræp.ər]
jogín,yogi [ˈjəʊ.ɡi]
acetát,acetate [ˈæs.ə.teɪt]
lákat,allure [əˈljʊər]
antrax,anthrax [ˈæn.θræks]
Vodný,aqueous [ˈeɪ.kwi.əs]
autorství,authorship [ˈɔː.θə.ʃɪp]
axiální,axial [ˈæk.si.əl]
bitevní loď,battleship [ˈbæt.əl.ʃɪp]
bajonet,bayonet [ˈbeɪ.ə.nət]
Bombshell,bombshell [ˈbɒm.ʃel]
vyhoření,burnout [ˈbɜːn.aʊt]
hýždě,buttock [ˈbʌt.ək]
rakovinný,cancerous [ˈkæn.sə.rəs]
karát,carat [ˈkær.ət]
karcinom,carcinoma [kɑː.sɪˈnəʊ.mə]
upozornění,caveat [ˈkæv.i.æt]
kaviár,caviar [ˈkæv.i.ɑːr]
obejít,circumvent [ˌsɜː.kəmˈvent]
klika,clique [kliːk]
rozjímání,contemplation [ˌkɒn.təmˈpleɪ.ʃən]
koruna,corolla [kəˈrɒl.ə]
výstřední,cranky [ˈkræŋ.ki]
Curvy,curvy [ˈkɜː.vi]
delude,delude [dɪˈluːd]
rozpustit,disband [dɪsˈbænd]
nepořádné,disorderly [dɪˈsɔː.dəl.i]
rozrušený,distraught [dɪˈstrɔːt]
mrholení,drizzle [ˈdrɪz.əl]
nábřeží,embankment [ɪmˈbæŋk.mənt]
vznikající,emergent [ɪˈmɜː.dʒənt]
lákat,entice [ɪnˈtaɪs]
státní pokladna,exchequer [ɪksˈtʃek.ər]
klisnička,filly [ˈfɪl.i]
formalita,formality [fɔːˈmæl.ə.ti]
statečnost,fortitude [ˈfɔː.tɪ.tʃuːd]
hazardní hráč,gambler [ˈɡæm.blər]
pán,gent [dʒent]
Grunt,grunt [ɡrʌnt]
závan,gust [ɡʌst]
harmonický,harmonious [hɑːˈməʊ.ni.əs]
Dosud,hitherto [ˌhɪð.əˈtuː]
hyperbolický,hyperbolic [ˌhaɪ.pəˈbɒl.ɪk]
obvinit,impeach [ɪmˈpiːtʃ]
inkubace,incubation [ˌɪŋ.kjəˈbeɪ.ʃən]
insignie,insignia [ɪnˈsɪɡ.ni.ə]
izotop,isotope [ˈaɪ.sə.təʊp]
jalovec,juniper [ˈdʒuː.nɪ.pər]
Lev,lev [lef]
lízátko,lollipop [ˈlɒl.i.pɒp]
mačeta,machete [məˈʃet.i]
norek,mink [mɪŋk]
zlomyslný,mischievous [ˈmɪs.tʃɪ.vəs]
Porozumění,misunderstand [ˌmɪs.ʌn.dəˈstænd]
Monografie,monograph [ˈmɒn.ə.ɡrɑːf]
bučení,moo [muː]
Morfologické,morphological [ˌmɔː.fəˈlɒdʒ.ɪ.kəl]
pohyblivý,movable [ˈmuː.və.bəl]
sliz,mucus [ˈmjuː.kəs]
moruše,mulberry [ˈmʌl.bər.i]
bezejmenný,nameless [ˈneɪm.ləs]
přírodovědec,naturalist [ˈnætʃ.ər.əl.ɪst]
redakce,newsroom [ˈnjuːz.ruːm]
oficiální,officiate [əˈfɪʃ.i.eɪt]
omnibus,omnibus [ˈɒm.nɪ.bəs]
výbuch,outburst [ˈaʊt.bɜːst]
přemoci,overwhelm [ˌəʊ.vəˈwelm]
patolog,pathologist [pəˈθɒl.ə.dʒɪst]
farmakologie,pharmacology [ˌfɑː.məˈkɒl.ə.dʒi]
past,pitfall [ˈpɪt.fɔːl]
skřítek,pixie [ˈpɪk.si]
vrstva,ply [plaɪ]
pytlačit,poach [pəʊtʃ]
předcházet,preventable [prɪˈven.tə.bəl]
původ,provenance [ˈprɒv.ən.əns]
probošt,provost [ˈprɒv.əst]
putt,putt [pʌt]
čtyřnásobek,quadruple [kwɒdˈruː.pəl]
Ratchet,ratchet [ˈrætʃ.ɪt]
rokle,ravine [rəˈviːn]
napravit,redress [rɪˈdres]
regenerovat,regenerate [rɪˈdʒen.ə.reɪt]
reinkarnace,reincarnation [ˌriː.ɪn.kɑːˈneɪ.ʃən]
Rife,rife [raɪf]
saxofon,sax [sæks]
saxofon,saxophone [ˈsæk.sə.fəʊn]
naostřit,sharpen [ˈʃɑː.pən]
měkkýši,shellfish [ˈʃel.fɪʃ]
šrapnel,shrapnel [ˈʃræp.nəl]
srp,sickle [ˈsɪk.əl]
parodie,skit [skɪt]
schodiště,stairway [ˈsteə.weɪ]
hvězdnatý,starry [ˈstɑː.ri]
stoický,stoic [ˈstəʊ.ɪk]
nadzvukový,supersonic [ˌsuː.pəˈsɒn.ɪk]
technologicky,technologically [ˌtek.nəˈlɒdʒ.ɪ.kəl.i]
střídmost,temperance [ˈtem.pər.əns]
mlátit,thrash [θræʃ]
překazit,thwart [θwɔːt]
náhrobek,tombstone [ˈtuːm.stəʊn]
Toto,toto [ˈtəʊ.təʊ]
přítok,tributary [ˈtrɪb.jə.tər.i]
hovno,turd [tɜːd]
nekontrolovaný,unchecked [ʌnˈtʃekt]
neštěstí,unhappiness [ʌnˈhæp.i.nəs]
nepředstavitelné,unimaginable [ˌʌn.ɪˈmædʒ.ɪ.nə.bəl]
nezajištěné,unsecured [ˌʌn.sɪˈkjʊəd]
neudržitelné,unsustainable [ˌʌn.səˈsteɪ.nə.bəl]
utopista,utopian [juːˈtəʊ.pi.ən]
z celého srdce,wholeheartedly [ˌhəʊlˈhɑː.tɪd.li]
černý,whooping [wuːp]
zhoršit,worsen [ˈwɜː.sən]
Zenith,zenith [ˈzen.ɪθ]
zkratka,abbreviation [əˌbriː.viˈeɪ.ʃən]
narůstat,accrue [əˈkruː]
přilnavost,adhesion [ədˈhiː.ʒən]
asymetrický,asymmetric [ˌeɪ.sɪˈmet.rɪk]
krutý,atrocious [əˈtrəʊ.ʃəs]
Autobiografické,autobiographical [ˌɔː.təˌbaɪ.əˈɡræf.ɪ.kəl]
odvrátit,avert [əˈvɜːt]
Avian,avian [ˈeɪ.vi.ən]
Bayou,bayou [ˈbaɪ.uː]
býčí,bullish [ˈbʊl.iʃ]
cudnost,chastity [ˈtʃæs.tə.ti]
rozeznít,chime [tʃaɪm]
Chromium,chromium [ˈkrəʊ.mi.əm]
Okolní,circumstantial [ˌsɜː.kəmˈstæn.ʃəl]
žadatel,claimant [ˈkleɪ.mənt]
blízkost,closeness [ˈkləʊs.nəs]
sběratelský,collectible [kəˈlek·tə·bəl]
vodivost,conductivity [ˌkɒn.dʌkˈtɪv.ə.ti]
kontextové,contextual [kənˈteks.tʃu.əl]
kordon,cordon [ˈkɔː.dən]
křížovka,crossword [ˈkrɒs.wɜːd]
kukačka,cuckoo [ˈkʊk.uː]
mazlivý,cuddly [ˈkʌd.əl.i]
rozluštit,decipher [dɪˈsaɪ.fər]
rozptýlení,dispersal [dɪˈspɜː.səl]
nelibost,displeasure [dɪˈspleʒ.ər]
diss,diss [dɪs]
bez námahy,effortless [ˈef.ət.ləs]
Ere,ere [eər]
náhoda,fluke [fluːk]
záliba,fondness [ˈfɒnd.nəs]
rukavice,gauntlet [ˈɡɔːnt.lət]
strašidelný,ghostly [ˈɡəʊst.li]
mřížka,grating [ˈɡreɪ.tɪŋ]
tetřev,grouse [ɡraʊs]
zavrčení,growl [ɡraʊl]
obvyklé,habitual [həˈbɪtʃ.u.əl]
hamak,hammock [ˈhæm.ək]
mlhavý,hazy [ˈheɪ.zi]
het,het [ˌhet ˈʌp]
zahradnický,horticultural [ˌhɔː.tɪˈkʌl.tʃər.əl]
mrštit,hurl [hɜːl]
idealistický,idealistic [ˌaɪ.dɪəˈlɪs.tɪk]
překážet,impede [ɪmˈpiːd]
imperialistický,imperialist [ɪmˈpɪə.ri.ə.lɪst]
rozvášnit,inflame [ɪnˈfleɪm]
nehumánní,inhumane [ˌɪn.hjuːˈmeɪn]
okamžitý,instantaneous [ˌɪn.stənˈteɪ.ni.əs]
uhranout,jinx [dʒɪŋks]
bez práce,jobless [ˈdʒɒb.ləs]
jurisprudence,jurisprudence [ˌdʒʊə.rɪsˈpruː.dəns]
ospravedlnitelné,justifiable [ˈdʒʌs.tɪ.faɪ.ə.bəl]
skřivan,lark [lɑːk]
vazba,linkage [ˈlɪŋ.kɪdʒ]
láskyplně,lovingly [ˈlʌv.ɪŋ.li]
zednářský,masonic [məˈsɒn.ɪk]
observační,observational [ˌɒb.zəˈveɪ.ʃən.əl]
Ombudsman,ombudsman [ˈɒm.bʊdz.mən]
Phew,phew [fjuː]
poštmistr,postmaster [ˈpəʊstˌmɑː.stər]
mocně,powerfully [ˈpaʊə.fəl.i]
rozinka,raisin [ˈreɪ.zən]
ratifikace,ratification [ˌræt.ɪ.fɪˈkeɪ.ʃən]
rekultivace,reclamation [ˌrek.ləˈmeɪ.ʃən]
vyvrátit,refute [rɪˈfjuːt]
znovuosídlení,resettlement [ˌriːˈset.əl.mənt]
Sculpt,sculpt [skʌlpt]
sedavý,sedentary [ˈsed.ən.tər.i]
Showroom,showroom [ˈʃəʊ.ruːm]
mokrý,soggy [ˈsɒɡ.i]
někde,someplace [ˈsʌm.pleɪs]
kouzelník,sorcerer [ˈsɔː.sər.ər]
čarodějnictví,sorcery [ˈsɔː.sər.i]
specialita,speciality [ˌspeʃ.iˈæl.ə.ti]
slezina,spleen [spliːn]
světlo hvězd,starlight [ˈstɑː.laɪt]
vytrvalé,steadfast [ˈsted.fɑːst]
sehnout,stoop [stuːp]
stylistický,stylistic [staɪˈlɪs.tɪk]
pověrčivý,superstitious [ˌsuː.pəˈstɪʃ.əs]
předběžně,tentatively [ˈten.tə.tɪv.li]
nedůtklivý,touchy [ˈtʌtʃ.i]
trampolína,trampoline [ˈtræm.pəl.iːn]
klidný,tranquil [ˈtræŋ.kwɪl]
upisování,underwriting [ˈʌndəˌraɪtɪŋ]
netušící,unsuspecting [ˌʌn.səˈspek.tɪŋ]
nevítaný,unwelcome [ʌnˈwel.kəm]
indisponovaný,unwell [ʌnˈwel]
drobet,whit [wɪt]
příbytek,abode [əˈbəʊd]
ohavnost,abomination [əˌbɒm.ɪˈneɪ.ʃən]
akutně,acutely [əˈkjuːt.li]
přichycený,adherent [ədˈhɪə.rənt]
přidělování,allotment [əˈlɒt.mənt]
andělský,angelic [ænˈdʒel.ɪk]
antisociální,antisocial [ˌæn.tiˈsəʊ.ʃəl]
ASTRAL,astral [ˈæs.trəl]
na scestí,astray [əˈstreɪ]
BAL,bal [ˌbiː.eɪˈel]
chyba,blunder [ˈblʌn.dər]
hnědavý,brownish [ˈbraʊ.nɪʃ]
pronásledovatel,chaser [ˈtʃeɪ.sər]
choreograf,choreographer [ˌkɒr.iˈɒɡ.rə.fər]
Rozruch,commotion [kəˈməʊ.ʃən]
úplnost,completeness [kəmˈpliːt.nəs]
concierge,concierge [ˌkɒn.siˈeəʒ]
cynismus,cynicism [ˈsɪn.ɪ.sɪ.zəm]
Ztmav,darken [ˈdɑː.kən]
omámení,daze [deɪz]
diskutabilní,debatable [dɪˈbeɪ.tə.bəl]
jmenovatel,denominator [dɪˈnɒm.ɪ.neɪ.tər]
Přetočit,devolve [dɪˈvɒlv]
pilně,diligently [ˈdɪl.ɪ.dʒənt.li]
věno,dowry [ˈdaʊ.ri]
úsek,endear [ɪnˈdɪər]
epilog,epilogue [ˈep.ɪ.lɒɡ]
vyhlazení,extermination [ɪkˌstɜː.mɪˈneɪ.ʃən]
Firefly,firefly [ˈfaɪə.flaɪ]
flotace,flotation [fləʊˈteɪ.ʃən]
pícniny,forage [ˈfɒr.ɪdʒ]
předmluva,foreword [ˈfɔː.wɜːd]
obyvatelný,habitable [ˈhæb.ɪ.tə.bəl]
harém,harem [ˈhɑː.riːm]
hegemonie,hegemony [hɪˈɡem.ə.ni]
hroch,hippo [ˌhɪp.əˈpɒt.ə.məs]
hypnotický,hypnotic [hɪpˈnɒt.ɪk]
nečinnost,inaction [ɪnˈæk.ʃən]
neprůkazné,inconclusive [ˌɪn.kəŋˈkluː.sɪv]
inkubátor,incubator [ˈɪŋ.kjə.beɪ.tər]
nešikovný,inept [ɪˈnept]
nevysvětlitelný,inexplicable [ˌɪn.ɪkˈsplɪk.ə.bəl]
inovovat,innovate [ˈɪn.ə.veɪt]
neoddělitelné,inseparable [ɪnˈsep.rə.bəl]
institucionalizace,institutionalize [ˌɪn.stɪˈtʃuː.ʃən.ə.laɪz]
intravenózní,intravenous [ˌɪn.trəˈviː.nəs]
porotce,juror [ˈdʒʊə.rər]
kilo,kilo [ˈkiː.ləʊ]
příbuzenství,kinship [ˈkɪn.ʃɪp]
laktóza,lactose [ˈlæk.təʊs]
lat,lat [læt]
shovívavý,lenient [ˈliː.ni.ənt]
přirovnat,liken [ˈlaɪ.kən]
uzamčení,lockout [ˈlɒk.aʊt]
lubrikant,lube [ˈluː.brɪ.kənt]
milimetr,millimeter [ˈmɪl.əˌmiː.t̬ɚ]
modální,modal [ˈməʊ.dəl]
modernismus,modernism [ˈmɒd.ən.ɪ.zəm]
vyjednávač,negotiator [nɪˈɡəʊ.ʃi.eɪ.tər]
kočovný,nomadic [nəʊˈmæd.ɪk]
dodržování,observance [əbˈzɜː.vəns]
pokání,penance [ˈpen.əns]
peroxid,peroxide [pəˈrɒk.saɪd]
absurdní,preposterous [prɪˈpɒs.tər.əs]
příslovečný,proverbial [prəˈvɜː.bi.əl]
nabubřelý,puffy [ˈpʌf.i]
křepelka,quail [kweɪl]
Quirk,quirk [kwɜːk]
vzteklý,rabid [ˈræb.ɪd]
reformátor,reformer [rɪˈfɔː.mər]
zkoušet,rehearse [rəˈhɜːs]
rezonanční,resonant [ˈrez.ən.ənt]
schéma,schema [ˈskiː.mə]
schizofrenic,schizophrenic [ˌskɪt.səˈfren.ɪk]
opovržení,scorn [skɔːn]
šroubovák,screwdriver [ˈskruːˌdraɪ.vər]
přepravce,shipper [ˈʃɪp.ər]
prskání,sizzle [ˈsɪz.əl]
zručný,skillful [ˈskɪl.fəl]
sonáta,sonata [səˈnɑː.tə]
oduševnělý,soulful [ˈsəʊl.fəl]
panika,stampede [stæmˈpiːd]
Standoff,standoff [ˈstænd.ɒf]
majestátní,stately [ˈsteɪt.li]
sladký,sugary [ˈʃʊɡ.ər.i]
vhodně,suitably [ˈsuː.tə.bli]
synonymum,synonym [ˈsɪn.ə.nɪm]
rapl,tantrum [ˈtæn.trəm]
zužující se,tapering [ˈteɪ.pə.rɪŋ]
tektonický,tectonic [tekˈtɒn.ɪk]
Tele,tele [tel.ɪ-]
toxikologie,toxicology [ˌtɒk.sɪˈkɒl.ə.dʒi]
transfúze,transfusion [trænsˈfjuː.ʒən]
zrada,treachery [ˈtretʃ.ər.i]
nerozbitný,unbreakable [ʌnˈbreɪ.kə.bəl]
bezkonkurenční,unmatched [ʌnˈmætʃt]
otřes,upheaval [ʌpˈhiː.vəl]
dýha,veneer [vəˈnɪər]
viskozita,viscosity [vɪˈskɒs.ə.ti]
Vouch,vouch [vaʊtʃ]
oplatka,wafer [ˈweɪ.fər]
Wiz,wiz [wɪz]
adaptabilní,adaptable [əˈdæp.tə.bəl]
pobočník,adjutant [ˈædʒ.ə.tənt]
hádka,altercation [ˌɒl.təˈkeɪ.ʃən]
zesílení,amplification [ˌæm.plɪ.fɪˈkeɪ.ʃən]
vhodně,aptly [ˈæpt.li]
Armada,armada [ɑːˈmɑː.də]
vzrušení,arousal [əˈraʊ.zəl]
umění,artistry [ˈɑː.tɪ.stri]
Atrium,atrium [ˈeɪ.tri.əm]
atypické,atypical [ˌeɪˈtɪp.ɪ.kəl]
Bouncer,bouncer [ˈbaʊn.sər]
svěží,breezy [ˈbriː.zi]
nápor,brunt [brʌnt]
výhonek,burgeon [ˈbɜː.dʒən]
kadence,cadence [ˈkeɪ.dəns]
kapitalizace,capitalization [ˌkæp.ɪ.təl.aɪˈzeɪ.ʃən]
máselnice,churn [tʃɜːn]
šifra,cipher [ˈsaɪ.fər]
klarinet,clarinet [ˌklær.ɪˈnet]
kondenzace,condensation [ˌkɒn.denˈseɪ.ʃən]
soutok,confluence [ˈkɒn.fluː.əns]
zácpa,constipation [ˌkɒn.stɪˈpeɪ.ʃən]
poradní,consultative [kənˈsʌl.tə.tɪv]
kontraband,contraband [ˈkɒn.trə.bænd]
kuchařství,cookery [ˈkʊk.ər.i]
kriminálně,criminally [ˈkrɪm.ɪ.nəl.i]
Custodian,custodian [kʌsˈtəʊ.di.ən]
cysta,cyst [sɪst]
rozhodně,decisively [dɪˈsaɪ.sɪv.li]
degenerace,degeneration [dɪˌdʒen.əˈreɪ.ʃən]
delikvent,delinquent [dɪˈlɪŋ.kwənt]
demokraticky,democratically [ˌdem.əˈkræt.ɪ.kəl.i]
deodorant,deodorant [diˈəʊ.dər.ənt]
vybuchnout,detonate [ˈdet.ən.eɪt]
neschválit,disapprove [ˌdɪs.əˈpruːv]
