hřeben,comb [koʊm]
těžký,grievous [ˈɡriː.vəs]
kapesník,handkerchief [ˈhæŋ.kɚ.tʃiːf]
připojení,hookup [ˈhʊkˌʌp]
beznadějně,hopelessly [ˈhoʊp.ləs.li]
zahradnictví,horticulture [ˈhɔːr.t̬ə.kʌl.tʃɚ]
hydratace,hydration [haɪˈdreɪ.ʃən]
beztrestnost,impunity [ɪmˈpjuː.ə.t̬i]
indexování,indexing [ˈɪn.deks]
neplodnost,infertility [ˌɪn.fɚˈtɪl.ə.t̬i]
Informační,informational [ˌɪn.fɚˈmeɪ.ʃən.əl]
platební neschopnost,insolvency [ɪnˈsɑːl.vən.si]
zprostředkovatel,intermediary [ˌɪn.t̬ɚˈmiː.di.ə.ri]
vyslýchat,interrogate [ɪnˈter.ə.ɡeɪt]
žertem,jokingly [ˈdʒoʊ.kɪŋ.li]
směšný,laughable [ˈlæf.ə.bəl]
místo,locus [ˈloʊ.kəs]
provizorní,makeshift [ˈmeɪk.ʃɪft]
stan,marquee [mɑːrˈkiː]
masturbovat,masturbate [ˈmæs.tɚ.beɪt]
matematicky,mathematically [ˌmæθˈmæt̬.ɪ.kəl.i]
Melanom,melanoma [ˌmel.əˈnoʊ.mə]
hrozivý,menacing [ˈmen.ə.sɪŋ]
mikrob,microbe [ˈmaɪ.kroʊb]
mobilizovat,mobilize [ˈmoʊ.bə.laɪz]
narození,nativity [nəˈtɪv.ə.t̬i]
kout,nook [nʊk]
výživný,nutritious [nuːˈtrɪʃ.əs]
Overdrive,overdrive [ˈoʊ.vɚ.draɪv]
polstrování,padding [ˈpæd.ɪŋ]
vědcovství,penitentiary [ˌpen.əˈten.ʃər.i]
nebezpečný,perilous [ˈper.əl.əs]
trhat,pluck [plʌk]
polytechnický,polytechnic [ˌpɑː.lɪˈtek.nɪk]
lidově,popularly [ˈpɑː.pjə.lɚ.li]
pornografický,pornographic [ˌpɔːr.nəˈɡræf.ɪk]
Posse,posse [ˈpɑː.si]
chlazení,refrigeration [rɪˌfrɪdʒ.əˈreɪ.ʃən]
odporný,repulsive [rɪˈpʌl.sɪv]
odklad,respite [ˈres.pət]
šavle,saber [ˈseɪ.bɚ]
sadistický,sadistic [səˈdɪs.tɪk]
Samba,samba [ˈsæm.bə]
Shaggy,shaggy [ˈʃæɡ.i]
Sitter,sitter [ˈsɪt̬.ɚ]
sklon,slant [slænt]
bezesný,sleepless [ˈsliːp.ləs]
slur,slur [slɝː]
sněhová koule,snowball [ˈsnoʊ.bɑːl]
síra,sulphur [ˈsʌl.fɚ]
polévková lžíce,tablespoon [ˈteɪ.bəl.spuːn]
lepkavý,tacky [ˈtæk.i]
manipulace,tamper [ˈtæm.pɚ]
terminus,terminus [ˈtɝː.mə.nəs]
varle,testicle [ˈtes.tɪ.kəl]
rozmrazit,thaw [θɑː]
propustnost,throughput [ˈθruː.pʊt]
tout,tout [taʊt]
stativ,tripod [ˈtraɪ.pɑːd]
tulipán,tulip [ˈtuː.lɪp]
mýto,turnpike [ˈtɝːn.paɪk]
bez dozoru,unattended [ˌʌn.əˈten.dɪd]
nepřekonatelný,unbeatable [ʌnˈbiː.t̬ə.bəl]
Undertaker,undertaker [ˈʌn.dɚˌteɪ.kɚ]
uniformovaný,uniformed [ˈjuː.nə.fɔːrmd]
vyloženo,unloaded [ʌnˈloʊd]
sup,vulture [ˈvʌl.tʃɚ]
Absentee,absentee [ˌæb.sənˈtiː]
ocenění,accolade [ˈæk.ə.leɪd]
neoficiální,anecdotal [ˌæn.ɪkˈdoʊ.t̬əl]
anémie,anemia [əˈniː.mi.ə]
nepřátelství,animosity [ˌæn.əˈmɑː.sə.t̬i]
bombardovat,bombard [bɑːmˈbɑːrd]
kalibrovat,calibrate [ˈkæl.ə.breɪt]
upoutat,captivate [ˈkæp.tə.veɪt]
Centrist,centrist [ˈsen.trɪst]
šofér,chauffeur [ʃoʊˈfɝː]
duchovní,clergyman [ˈklɝː.dʒi.mən]
představitelný,conceivable [kənˈsiː.və.bəl]
přehlížet,condone [kənˈdoʊn]
vysvětit,consecrate [ˈkɑːn.sə.kreɪt]
kontaminant,contaminant [kənˈtæm.ə.nənt]
sousedící,contiguous [kənˈtɪɡ.ju.əs]
Radní,councilman [ˈkaʊn.səl.mən]
brusinka,cranberry [ˈkræn.ber.i]
políčko,croft [krɑːft]
pudink,custard [ˈkʌs.tɚd]
klamání,deceiving [dɪˈsiːv]
definitivně,definitively [dɪˈfɪn.ə.t̬ɪv.li]
odklonit,deflect [dɪˈflekt]
uvažování,deliberation [dɪˌlɪb.əˈreɪ.ʃən]
pustý,desolate [ˈdes.əl.ət]
pohltit,devour [dɪˈvaʊ.ɚ]
bagr,digger [ˈdɪɡ.ɚ]
odzbrojení,disarmament [dɪˈsɑːr.mə.mənt]
divergence,divergence [dɪˈvɝː.dʒəns]
ochočit,domesticate [dəˈmes.tɪ.keɪt]
dvojnásobně,doubly [ˈdʌb.li]
kobliha,doughnut [ˈdoʊ.nʌt]
rovnocennost,equivalence [ɪˈkwɪv.əl.əns]
esoterický,esoteric [ˌes.əˈter.ɪk]
euthanasie,euthanasia [ˌjuː.θəˈneɪ.ʒə]
zločinec,felon [ˈfel.ən]
hořlavý,flammable [ˈflæm.ə.bəl]
granát,garnet [ˈɡɑːr.nət]
grapefruit,grapefruit [ˈɡreɪp.fruːt]
rošt,grate [ɡreɪt]
chrt,greyhound [ˈɡreɪ.haʊnd]
kadeřník,hairdresser [ˈherˌdres.ɚ]
tvrdost,hardness [ˈhɑːrd.nəs]
kopcovitý,hilly [ˈhɪl.i]
Hone,hone [hoʊn]
pokorně,humbly [ˈhʌm.bli]
podněcovat,incite [ɪnˈsaɪt]
nepochopitelný,incomprehensible [ɪnˌkɑːm.prəˈhen.sə.bəl]
setrvačnost,inertia [ˌɪnˈɝː.ʃə]
zamoření,infestation [ˌɪn.fesˈteɪ.ʃən]
povstání,insurrection [ˌɪn.sɚˈek.ʃən]
nesnesitelné,intolerable [ɪnˈtɑː.lɚ.ə.bəl]
lenost,laziness [ˈleɪ.zi.nəs]
pijavice,leech [liːtʃ]
šíleně,madly [ˈmæd.li]
bídně,miserably [ˈmɪz.ɚ.ə.bli]
zmrzačení,mutilation [ˌmjuː.t̬əlˈeɪ.ʃən]
šikovný,nifty [ˈnɪf.ti]
pelikán,pelican [ˈpel.ə.kən]
důchodce,pensioner [ˈpen.ʃən.ɚ]
Piazza,piazza [piˈɑːt.sə]
POM,pom [Výskyt nenalezen]
přivlastňovací,possessive [pəˈzes.ɪv]
prefektura,prefecture [ˈpriː.fek.tʃɚ]
domýšlivý,pretentious [prɪˈten.ʃəs]
promenáda,promenade [ˌprɑː.məˈneɪd]
vztah,rapport [ræpˈɔːr]
extáze,rapture [ˈræp.tʃɚ]
zpustošení,ravage [ˈræv.ɪdʒ]
znovu připojit,reconnect [ˌriː.kəˈnekt]
opravit,rectify [ˈrek.tə.faɪ]
základní,rudimentary [ˌruː.dəˈmen.tər.i]
scénárista,screenwriter [ˈskriːnˌraɪ.t̬ɚ]
volič,selector [səˈlek.tɚ]
šátek,shawl [ʃɑːl]
šilink,shilling [ˈʃɪl.ɪŋ]
zahalit,shroud [ʃraʊd]
Skim,skim [skɪm]
obžaloba,solicitation [səˌlɪs.əˈteɪ.ʃən]
pravobok,starboard [ˈstɑːr.bɚd]
nahradit,supersede [ˌsuː.pɚˈsiːd]
vír,swirl [swɝːl]
traumatizovat,traumatize [ˈtrɑː.mə.taɪz]
blikat,twinkle [ˈtwɪŋ.kəl]
nepředvídané,unforeseen [ˌʌn.fɚˈsiːn]
nevyslovený,unspoken [ʌnˈspoʊ.kən]
komorník,valet [ˌvæˈleɪ]
vehementně,vehemently [ˈviː.ə.mənt.li]
vendeta,vendetta [venˈdet̬.ə]
slabě,weakly [ˈwiːk.li]
Wiener,wiener [ˈwiː.nɚ]
radní,alderman [ˈɑːl.dɚ.mən]
odcizení,alienation [ˌeɪ.li.əˈneɪ.ʃən]
otěr,attrition [əˈtrɪʃ.ən]
autopilot,autopilot [ˈɑː.t̬oʊˌpaɪ.lət]
vydutý,baggy [ˈbæɡ.i]
zátěž,ballast [ˈbæl.əst]
rozpočtový,budgetary [ˈbʌdʒ.ə.ter.i]
rušný,bustling [ˈbʌs.lɪŋ]
pečovatel,carer [ˈker.ɚ]
klišé,cliche [kliːˈʃeɪ]
šváb,cockroach [ˈkɑːk.roʊtʃ]
těžkopádný,cumbersome [ˈkʌm.bɚ.səm]
Curt,curt [kɝːt]
cyklický,cyclic [ˈsɪk.lɪk]
cyklické,cyclical [ˈsɪk.lɪ.kəl]
odečíst,deduct [dɪˈdʌkt]
deformace,deformation [ˌdiː.fɔːrˈmeɪ.ʃən]
oddané,devotional [dɪˈvoʊ.ʃən.əl]
zdvojení,duplication [ˌduː.pləˈkeɪ.ʃən]
dynamo,dynamo [ˈdaɪ.nə.moʊ]
elixír,elixir [iˈlɪk.sɚ]
oční víčko,eyelid [ˈaɪ.lɪd]
bajka,fable [ˈfeɪ.bəl]
palivové dříví,firewood [ˈfaɪr.wʊd]
předvídavost,foresight [ˈfɔːr.saɪt]
opustit,forsake [fɔːrˈseɪk]
fundamentalista,fundamentalist [ˌfʌn.dəˈmen.t̬əl.ɪst]
ochromit,hamstring [ˈhæm.strɪŋ]
podkova,horseshoe [ˈhɔːrs.ʃuː]
řez,incision [ɪnˈsɪʒ.ən]
nerozeznatelný,indistinguishable [ˌɪn.dɪˈstɪŋ.ɡwɪ.ʃə.bəl]
usoudit,infer [ɪnˈfɝː]
lůžkový,inpatient [ˈɪn.peɪ.ʃənt]
invitational,invitational [/kəˈlæb.ə.reɪt/]
Kennel,kennel [ˈken.əl]
ležák,lager [ˈlɑː.ɡɚ]
zeman,laird [lerd]
nenávist,loathe [loʊð]
loajalista,loyalist [ˈlɔɪ.ə.lɪst]
mužství,manhood [ˈmæn.hʊd]
mučednictví,martyrdom [ˈmɑːr.t̬ɚ.dəm]
menopauza,menopause [ˈmen.ə.pɑːz]
zmrzačit,mutilate [ˈmjuː.t̬əl.eɪt]
vaječník,ovary [ˈoʊ.vər.i]
zjevně,overtly [oʊˈvɝːt.li]
bezbolestný,painless [ˈpeɪn.ləs]
neustále,perpetually [pɚˈpetʃ.u.ə.li]
prenatální,prenatal [ˌpriːˈneɪ.t̬əl]
Probate,probate [ˈproʊ.beɪt]
obstarat,procure [prəˈkjʊr]
sklon,propensity [prəˈpen.sə.t̬i]
přetvořit,remodel [ˌriːˈmɑː.dəl]
růženec,rosary [ˈroʊ.zɚ.i]
lest,ruse [ruːz]
seniority,seniority [siːˈnjɔːr.ə.t̬i]
odstupné,severance [ˈsev.ɚ.əns]
pochva,sheath [ʃiːθ]
těsnopis,shorthand [ˈʃɔːrt.hænd]
jedinečnost,singularity [ˌsɪŋ.ɡjəˈler.ə.t̬i]
socializovat,socialize [ˈsoʊ.ʃə.laɪz]
sportovec,sportsman [ˈspɔːrts.mən]
přímo,squarely [ˈskwer]
nevlastní matka,stepmother [ˈstepˌmʌð.ɚ]
vzpěra,strut [strʌt]
podlehnout,succumb [səˈkʌm]
naparování,swagger [ˈswæɡ.ɚ]
řemen,thong [θɑːŋ]
Thump,thump [θʌmp]
tot,tot [tɑːt]
obratník,tropic [ˈtrɑː.pɪk]
car,tsar [zɑːr]
Tycoon,tycoon [taɪˈkuːn]
bezpodmínečně,unconditionally [ˌʌn.kənˈdɪʃ.ən.əl.i]
nekontrolovatelné,uncontrollable [ˌʌn.kənˈtroʊld]
nepopiratelně,undeniably [ˌʌn.dɪˈnaɪ.ə.bli]
neortodoxní,unorthodox [ʌnˈɔːr.θə.dɑːks]
vřava,uproar [ˈʌp.rɔːr]
závrať,vertigo [ˈvɝː.t̬ə.ɡoʊ]
bdělost,vigilance [ˈvɪdʒ.əl.əns]
chodník,walkway [ˈwɑː.kweɪ]
větrný mlýn,windmill [ˈwɪnd.mɪl]
obal,wrapper [ˈræp.ɚ]
jogín,yogi [ˈjoʊ.ɡi]
acetát,acetate [ˈæs.ə.teɪt]
lákat,allure [əˈlʊr]
antrax,anthrax [ˈæn.θræks]
Vodný,aqueous [ˈeɪ.kwi.əs]
autorství,authorship [ˈɑː.θɚ.ʃɪp]
axiální,axial [ˈæk.si.əl]
bitevní loď,battleship [ˈbæt̬.əl.ʃɪp]
bajonet,"bayonet [ˌbeɪ·əˈnet,]"
Bombshell,bombshell [ˈbɑːm.ʃel]
vyhoření,burnout [ˈbɝːn.aʊt]
hýždě,buttock [ˈbʌt̬.ək]
rakovinný,cancerous [ˈkæn.sə.rəs]
karát,carat [ˈker.ət]
karcinom,carcinoma [kɑːr.səˈnoʊ.mə]
upozornění,caveat [ˈkæv.i.æt]
kaviár,caviar [ˈkæv.i.ɑːr]
obejít,circumvent [ˌsɝː.kəmˈvent]
klika,clique [klɪk]
rozjímání,contemplation [ˌkɑːn.t̬əmˈpleɪ.ʃən]
koruna,corolla [kəˈroʊ.lə]
výstřední,cranky [ˈkræŋ.ki]
Curvy,curvy [ˈkɝː.vi]
delude,delude [dɪˈluːd]
rozpustit,disband [dɪsˈbænd]
nepořádné,disorderly [dɪˈsɔːr.dɚ.li]
rozrušený,distraught [dɪˈstrɑːt]
mrholení,drizzle [ˈdrɪz.əl]
nábřeží,embankment [ɪmˈbæŋk.mənt]
vznikající,emergent [ɪˈmɝː.dʒənt]
lákat,entice [ɪnˈtaɪs]
státní pokladna,exchequer [ɪksˈtʃek.ɚ]
klisnička,filly [ˈfɪl.i]
formalita,formality [fɔːˈmæl.ə.t̬i]
statečnost,fortitude [ˈfɔːr.t̬ə.tuːd]
hazardní hráč,gambler [ˈɡæm.blɚ]
pán,gent [dʒent]
Grunt,grunt [ɡrʌnt]
závan,gust [ɡʌst]
harmonický,harmonious [hɑːrˈmoʊ.ni.əs]
Dosud,hitherto [ˌhɪð.ɚˈtuː]
hyperbolický,hyperbolic [ˌhaɪ.pɚˈbɑː.lɪk]
obvinit,impeach [ɪmˈpiːtʃ]
inkubace,incubation [ˌɪŋ.kjəˈbeɪ.ʃən]
insignie,insignia [ɪnˈsɪɡ.ni.ə]
izotop,isotope [ˈaɪ.sə.toʊp]
jalovec,juniper [ˈdʒuː.nə.pɚ]
Lev,lev [/kəˈlæb.ə.reɪt/]
lízátko,lollipop [ˈlɑː.li.pɑːp]
mačeta,machete [məˈʃet̬.i]
norek,mink [mɪŋk]
zlomyslný,mischievous [ˈmɪs.tʃə.vəs]
Porozumění,misunderstand [ˌmɪs.ʌn.dɚˈstænd]
Monografie,monograph [ˈmɑː.nə.ɡræf]
bučení,moo [muː]
Morfologické,morphological [ˌmɔːr.fəˈlɑː.dʒɪ.kəl]
pohyblivý,movable [ˈmuː.və.bəl]
sliz,mucus [ˈmjuː.kəs]
moruše,mulberry [ˈmʌl.ber.i]
bezejmenný,nameless [ˈneɪm.ləs]
přírodovědec,naturalist [ˈnætʃ.ɚ.əl.ɪst]
redakce,newsroom [ˈnuːz.ruːm]
oficiální,officiate [əˈfɪʃ.i.eɪt]
omnibus,omnibus [ˈɑːm.nə.bəs]
výbuch,outburst [ˈaʊt.bɝːst]
přemoci,overwhelm [ˌoʊ.vɚˈwelm]
patolog,pathologist [pəˈθɑː.lə.dʒɪst]
farmakologie,pharmacology [ˌfɑːr.məˈkɑː.lə.dʒi]
past,pitfall [ˈpɪt.fɑːl]
skřítek,pixie [ˈpɪk.si]
vrstva,ply [plaɪ]
pytlačit,poach [poʊtʃ]
předcházet,preventable [prɪˈven.t̬ə.bəl]
původ,provenance [ˈprɑː.vən.əns]
probošt,provost [ˈprɑː.vəst]
putt,putt [pʌt]
čtyřnásobek,quadruple [kwɑːˈdruː.pəl]
Ratchet,ratchet [ˈrætʃ.ɪt]
rokle,ravine [rəˈviːn]
napravit,redress [rɪˈdres]
regenerovat,regenerate [rɪˈdʒen.ə.reɪt]
reinkarnace,reincarnation [ˌriː.ɪn.kɑːrˈneɪ.ʃən]
Rife,rife [raɪf]
saxofon,sax [sæks]
saxofon,saxophone [ˈsæk.sə.foʊn]
naostřit,sharpen [ˈʃɑːr.pən]
měkkýši,shellfish [ˈʃel.fɪʃ]
šrapnel,shrapnel [ˈʃræp.nəl]
srp,sickle [ˈsɪk.əl]
parodie,skit [skɪt]
schodiště,stairway [ˈster.weɪ]
hvězdnatý,starry [ˈstɑːr.i]
stoický,stoic [ˈstoʊ.ɪk]
nadzvukový,supersonic [ˌsuː.pɚˈsɑː.nɪk]
technologicky,technologically [ˌtek.nəˈlɑː.dʒɪ.kəl.i]
střídmost,temperance [ˈtem.pɚ.əns]
mlátit,thrash [θræʃ]
překazit,thwart [θwɔːrt]
náhrobek,tombstone [ˈtuːm.stoʊn]
Toto,toto [ˈtoʊ.t̬oʊ]
přítok,tributary [ˈtrɪb.jə.ter.i]
hovno,turd [Výskyt nenalezen]
nekontrolovaný,unchecked [ʌnˈtʃekt]
neštěstí,unhappiness [ʌnˈhæp.i.nəs]
nepředstavitelné,unimaginable [ˌʌn.ɪˈmædʒ.ɪ.nə.bəl]
nezajištěné,unsecured [ˌʌn.sɪˈkjʊrd]
neudržitelné,unsustainable [ˌʌn.səˈsteɪ.nə.bəl]
utopista,utopian [juːˈtoʊ.pi.ən]
z celého srdce,wholeheartedly [ˌhoʊlˈhɑːr.t̬ɪd.li]
černý,whooping [wuːp]
zhoršit,worsen [ˈwɝː.sən]
Zenith,zenith [ˈziː.nɪθ]
zkratka,abbreviation [əˌbriː.viˈeɪ.ʃən]
narůstat,accrue [əˈkruː]
přilnavost,adhesion [ədˈhiː.ʒən]
asymetrický,asymmetric [ˌeɪ.sɪˈmet.rɪk]
krutý,atrocious [əˈtroʊ.ʃəs]
Autobiografické,autobiographical [ˌɑː.t̬əˌbaɪ.əˈɡræf.ɪ.kəl]
odvrátit,avert [əˈvɝːt]
Avian,avian [ˈeɪ.vi.ən]
Bayou,bayou [ˈbaɪ.uː]
býčí,bullish [ˈbʊl.iʃ]
cudnost,chastity [ˈtʃæs.tə.t̬i]
rozeznít,chime [tʃaɪm]
Chromium,chromium [ˈkroʊ.mi.əm]
Okolní,circumstantial [ˌsɝː.kəmˈstæn.ʃəl]
žadatel,claimant [ˈkleɪ.mənt]
blízkost,closeness [ˈkloʊs.nəs]
sběratelský,collectible [kəˈlek·tə·bəl]
vodivost,conductivity [ˌkɑːn.dʌkˈtɪv.ə.t̬i]
kontextové,contextual [kənˈteks.tʃu.əl]
kordon,cordon [ˈkɔːr.dən]
křížovka,crossword [ˈkrɑːs.wɝːd]
kukačka,cuckoo [ˈkʊk.uː]
mazlivý,cuddly [ˈkʌd.əl.i]
rozluštit,decipher [dɪˈsaɪ.fɚ]
rozptýlení,dispersal [dɪˈspɝː.səl]
nelibost,displeasure [dɪˈspleʒ.ɚ]
diss,diss [dɪs]
bez námahy,effortless [ˈef.ɚt.ləs]
Ere,ere [er]
náhoda,fluke [fluːk]
záliba,fondness [ˈfɑːnd.nəs]
rukavice,gauntlet [ˈɡɑːnt.lət]
strašidelný,ghostly [ˈɡoʊst.li]
mřížka,grating [ˈɡreɪ.t̬ɪŋ]
tetřev,grouse [ɡraʊs]
zavrčení,growl [ɡraʊl]
obvyklé,habitual [həˈbɪtʃ.u.əl]
hamak,hammock [ˈhæm.ək]
mlhavý,hazy [ˈheɪ.zi]
het,het [ˌhet̬ ˈʌp]
zahradnický,horticultural [ˌhɔːr.t̬əˈkʌl.tʃɚ.əl]
mrštit,hurl [hɝːl]
idealistický,idealistic [ˌaɪ.diː.əˈlɪs.tɪk]
překážet,impede [ɪmˈpiːd]
imperialistický,imperialist [ɪmˈpɪr.i.ə.lɪst]
rozvášnit,inflame [ɪnˈfleɪm]
nehumánní,inhumane [ˌɪn.hjuːˈmeɪn]
okamžitý,instantaneous [ˌɪn.stənˈteɪ.ni.əs]
uhranout,jinx [dʒɪŋks]
bez práce,jobless [ˈdʒɑːb.ləs]
jurisprudence,jurisprudence [ˌdʒʊr.ɪsˈpruː.dəns]
ospravedlnitelné,justifiable [ˈdʒʌs.tə.faɪ.ə.bəl]
skřivan,lark [lɑːrk]
vazba,linkage [ˈlɪŋ.kɪdʒ]
láskyplně,lovingly [ˈlʌv.ɪŋ.li]
zednářský,masonic [məˈsɑː.nɪk]
observační,observational [ˌɑːb.zɚˈveɪ.ʃən.əl]
Ombudsman,ombudsman [ˈɑːm.bədz.mən]
Phew,phew [fjuː]
poštmistr,postmaster [ˈpoʊstˌmæs.tɚ]
mocně,powerfully [ˈpaʊ.ɚ.fəl.i]
rozinka,raisin [ˈreɪ.zən]
ratifikace,ratification [ˌræt̬.ə.fəˈkeɪ.ʃən]
rekultivace,reclamation [ˌrek.ləˈmeɪ.ʃən]
vyvrátit,refute [rɪˈfjuːt]
znovuosídlení,resettlement [ˌriːˈset̬.əl.mənt]
Sculpt,sculpt [skʌlpt]
sedavý,sedentary [ˈsed.ən.ter.i]
Showroom,showroom [ˈʃoʊ.ruːm]
mokrý,soggy [ˈsɑː.ɡi]
někde,someplace [ˈsʌm.pleɪs]
kouzelník,sorcerer [ˈsɔːr.sɚ.ɚ]
čarodějnictví,sorcery [ˈsɔːr.sɚ.i]
specialita,speciality [ˌspeʃ.iˈæl.ə.t̬i]
slezina,spleen [spliːn]
světlo hvězd,starlight [ˈstɑːr.laɪt]
vytrvalé,steadfast [ˈsted.fæst]
sehnout,stoop [stuːp]
stylistický,stylistic [staɪˈlɪs.tɪk]
pověrčivý,superstitious [ˌsuː.pɚˈstɪʃ.əs]
předběžně,tentatively [ˈten.t̬ə.t̬ɪv.li]
nedůtklivý,touchy [ˈtʌtʃ.i]
trampolína,trampoline [ˌtræm.pəˈliːn]
klidný,tranquil [ˈtræŋ.kwəl]
upisování,underwriting [/kəˈlæb.ə.reɪt/]
netušící,unsuspecting [ˌʌn.səˈspek.tɪŋ]
nevítaný,unwelcome [ʌnˈwel.kəm]
indisponovaný,unwell [ʌnˈwel]
drobet,whit [wɪt]
příbytek,abode [əˈboʊd]
ohavnost,abomination [əˌbɑː.məˈneɪ.ʃən]
akutně,acutely [əˈkjuːt.li]
přichycený,adherent [ədˈhɪr.ənt]
přidělování,allotment [əˈlɑːt.mənt]
andělský,angelic [ænˈdʒel.ɪk]
antisociální,antisocial [ˌæn.t̬iˈsoʊ.ʃəl]
ASTRAL,astral [ˈæs.trəl]
na scestí,astray [əˈstreɪ]
BAL,bal [ˌbiː.eɪˈel]
chyba,blunder [ˈblʌn.dɚ]
hnědavý,brownish [ˈbraʊ.nɪʃ]
pronásledovatel,chaser [ˈtʃeɪ.sɚ]
choreograf,choreographer [ˌkɔːr.iˈɑː.ɡrə.fɚ]
Rozruch,commotion [kəˈmoʊ.ʃən]
úplnost,completeness [kəmˈpliːt.nəs]
concierge,concierge [kɑːn.siˈerʒ]
cynismus,cynicism [ˈsɪn.ə.sɪ.zəm]
Ztmav,darken [ˈdɑːr.kən]
omámení,daze [deɪz]
diskutabilní,debatable [dɪˈbeɪ.t̬ə.bəl]
jmenovatel,denominator [dɪˈnɑː.mə.neɪ.t̬ɚ]
Přetočit,devolve [dɪˈvɑːlv]
pilně,diligently [ˈdɪl.ə.dʒənt.li]
věno,dowry [ˈdaʊ.ri]
úsek,endear [ɪnˈdɪr]
epilog,epilogue [ˈep.ə.lɑːɡ]
vyhlazení,extermination [ɪkˌstɝː.məˈneɪ.ʃən]
Firefly,firefly [ˈfaɪr.flaɪ]
flotace,flotation [floʊˈteɪ.ʃən]
pícniny,forage [ˈfɔːr.ɪdʒ]
předmluva,foreword [ˈfɔːr.wɝːd]
obyvatelný,habitable [ˈhæb.ɪ.t̬ə.bəl]
harém,harem [ˈher.əm]
hegemonie,hegemony [hɪˈdʒem.ə.ni]
hroch,hippo [ˌhɪp.əˈpɑː.t̬ə.məs]
hypnotický,hypnotic [hɪpˈnɑː.t̬ɪk]
nečinnost,inaction [ɪnˈæk.ʃən]
neprůkazné,inconclusive [ˌɪn.kəŋˈkluː.sɪv]
inkubátor,incubator [ˈɪŋ.kjə.beɪ.t̬ɚ]
nešikovný,inept [ˌɪnˈept]
nevysvětlitelný,inexplicable [ˌɪn.ɪkˈsplɪk.ə.bəl]
inovovat,innovate [ˈɪn.ə.veɪt]
neoddělitelné,inseparable [ɪnˈsep.rə.bəl]
institucionalizace,institutionalize [ˌɪn.stəˈtuː.ʃən.ə.laɪz]
intravenózní,intravenous [ˌɪn.trəˈviː.nəs]
porotce,juror [ˈdʒʊr.ɚ]
kilo,kilo [ˈkiː.loʊ]
příbuzenství,kinship [ˈkɪn.ʃɪp]
laktóza,lactose [ˈlæk.toʊs]
lat,lat [læt]
shovívavý,lenient [ˈliː.ni.ənt]
přirovnat,liken [ˈlaɪ.kən]
uzamčení,lockout [ˈlɑːk.aʊt]
lubrikant,lube [ˈluː.brə.kənt]
milimetr,millimeter [ˈmɪl.əˌmiː.t̬ɚ]
modální,modal [ˈmoʊ.dəl]
modernismus,modernism [ˈmɑː.dɚ.nɪ.zəm]
vyjednávač,negotiator [nɪˈɡoʊ.ʃi.eɪ.t̬ɚ]
kočovný,nomadic [noʊˈmæd.ɪk]
dodržování,observance [əbˈzɝː.vəns]
pokání,penance [ˈpen.əns]
peroxid,peroxide [pəˈrɑːk.saɪd]
absurdní,preposterous [prɪˈpɑː.stɚ.əs]
příslovečný,proverbial [prəˈvɝː.bi.əl]
nabubřelý,puffy [ˈpʌf.i]
křepelka,quail [kweɪl]
Quirk,quirk [kwɝːk]
vzteklý,rabid [ˈræb.ɪd]
reformátor,reformer [rɪˈfɔːr.mɚ]
zkoušet,rehearse [rəˈhɝːs]
rezonanční,resonant [ˈrez.ən.ənt]
schéma,schema [ˈskiː.mə]
schizofrenic,schizophrenic [ˌskɪt.səˈfren.ɪk]
opovržení,scorn [skɔːrn]
šroubovák,screwdriver [ˈskruːˌdraɪ.vɚ]
přepravce,shipper [ˈʃɪp.ɚ]
prskání,sizzle [ˈsɪz.əl]
zručný,skillful [ˈskɪl.fəl]
sonáta,sonata [səˈnɑː.t̬ə]
oduševnělý,soulful [ˈsoʊl.fəl]
panika,stampede [stæmˈpiːd]
Standoff,standoff [ˈstænd.ɑːf]
majestátní,stately [ˈsteɪt.li]
sladký,sugary [ˈʃʊɡ.ɚ.i]
vhodně,suitably [ˈsuː.t̬ə.bli]
synonymum,synonym [ˈsɪn.ə.nɪm]
rapl,tantrum [ˈtæn.trəm]
zužující se,tapering [ˈteɪ.pɚ.ɪŋ]
tektonický,tectonic [tekˈtɑː.nɪk]
Tele,tele [tel.ə-]
toxikologie,toxicology [ˌtɑːk.sɪˈkɑː.lə.dʒi]
transfúze,transfusion [trænsˈfjuː.ʒən]
zrada,treachery [ˈtretʃ.ɚ.i]
nerozbitný,unbreakable [ʌnˈbreɪ.kə.bəl]
bezkonkurenční,unmatched [ʌnˈmætʃt]
otřes,upheaval [ʌpˈhiː.vəl]
dýha,veneer [vəˈnɪr]
viskozita,viscosity [vɪˈskɑː.sə.t̬i]
Vouch,vouch [vaʊtʃ]
oplatka,wafer [ˈweɪ.fɚ]
Wiz,wiz [wɪz]
adaptabilní,adaptable [əˈdæp.tə.bəl]
pobočník,adjutant [ˈædʒ.ə.tənt]
hádka,altercation [ˌɑːl.tɚˈkeɪ.ʃən]
zesílení,amplification [ˌæm.plə.fəˈkeɪ.ʃən]
vhodně,aptly [ˈæpt.li]
Armada,armada [ɑːrˈmɑː.də]
vzrušení,arousal [əˈraʊ.zəl]
umění,artistry [ˈɑːr.t̬ə.stri]
Atrium,atrium [ˈeɪ.tri.əm]
atypické,atypical [ˌeɪˈtɪp.ɪ.kəl]
Bouncer,bouncer [ˈbaʊn.sɚ]
svěží,breezy [ˈbriː.zi]
nápor,brunt [brʌnt]
