kvalifikovat se,qualify [ˈkwɑː.lə.faɪ]
zrn(k)o,grain [ɡreɪn]
identifikace,identification [aɪˌden.t̬ə.fəˈkeɪ.ʃən]
kolo (závodu ap.),lap [læp]
játra,liver [ˈlɪv.ɚ]
metropolitní,metropolitan [ˌmet.rəˈpɑː.lə.tən]
směs,mixture [ˈmɪks.tʃɚ]
nominovat,nominate [ˈnɑː.mə.neɪt]
dub,oak [oʊk]
parlamentní,parliamentary [ˌpɑːr.ləˈmen.t̬ɚ.i]
patent,patent [ˈpæt.ənt]
lékař (form.),physician [fɪˈzɪʃ.ən]
(soudní) řízení,proceeding [proʊˈsiːd]
žák(yně),pupil [ˈpjuː.pəl]
obnovit,restore [rɪˈstɔːr]
puška,rifle [ˈraɪ.fəl]
soupeř,rival [ˈraɪ.vəl]
běžec,runner [ˈrʌn.ɚ]
smutně,sadly [ˈsæd.li]
význam,significance [sɪɡˈnɪf.ə.kəns]
mýdlo,soap [soʊp]
sprej,spray [spreɪ]
strukturální,structural [ˈstrʌk.tʃɚ.əl]
apartmá (vícepokojové),suite [swiːt]
tropický,tropical [ˈtrɑː.pɪ.kəl]
nepotřebný,unnecessary [ʌnˈnes.ə.ser.i]
verš,verse [vɝːs]
vítěz (kniž),victor [ˈvɪk.tɚ]
vinobraní,vintage [ˈvɪn.t̬ɪdʒ]
varovat,warn [wɔːrn]
akr,acre [ˈeɪ.kɚ]
přizpůsobit se,adapt [əˈdæpt]
přijetí,adoption [əˈdɑːp.ʃən]
anonymní,anonymous [əˈnɑː.nə.məs]
umělecký,artistic [ɑːrˈtɪs.tɪk]
účast,attendance [əˈten.dəns]
letectví,aviation [ˌeɪ.viˈeɪ.ʃən]
sud,barrel [ˈber.əl]
box,boxing [ˈbɑːk.sɪŋ]
sklíčidlo,chuck [tʃʌk]
kino,cinema [ˈsɪn.ə.mə]
koloniální,colonial [kəˈloʊ.ni.əl]
vyhovění,compliance [kəmˈplaɪ.əns]
protikladný,contrary [ˈkɑːn.tre.ri]
pohovka,couch [kaʊtʃ]
(roz)drtit,crush [krʌʃ]
přehrada,dam [dæm]
pokles,decrease [dɪˈkriːs]
žánr,genre [ˈʒɑːn.rə]
jemný,gentle [ˈdʒen.t̬əl]
gramatika,grammar [ˈɡræm.ɚ]
ilustrovat,illustrate [ˈɪl.ə.streɪt]
vynalézt,invent [ɪnˈvent]
pronájem (právní ujednání),lease [liːs]
čočka,lens [lenz]
loajalita,loyalty [ˈlɔɪ.əl.t̬i]
magnetický,magnetic [mæɡˈnet̬.ɪk]
tajemný,mysterious [mɪˈstɪr.i.əs]
"představa (názor, mínění)",notion [ˈnoʊ.ʃən]
částečný,partial [ˈpɑːr.ʃəl]
krysa,rat [ræt]
odraz,reflection [rɪˈflek.ʃən]
usnést se (form),resolve [rɪˈzɑːlv]
revoluční,revolutionary [ˌrev.əˈluː.ʃən.er.i]
skandál,scandal [ˈskæn.dəl]
svítit,shine [ʃaɪn]
zároveň,simultaneously [ˌsaɪ.məlˈteɪ.ni.əs.li]
nahradit,substitute [ˈsʌb.stə.tuːt]
dohled (dozor),surveillance [sɚˈveɪ.ləns]
taktika,tactic [ˈtæk.tɪk]
svědectví (u soudu),testimony [ˈtes.tə.moʊ.ni]
poklad,treasure [ˈtreʒ.ɚ]
trofej,trophy [ˈtroʊ.fi]
být základem,underlie [ˌʌn.dɚˈlaɪ]
nečestný,unfair [ʌnˈfer]
přijetí,acceptance [əkˈsep.təns]
(každo)ročně,annually [ˈæn.ju.ə.li]
omluvit se,apologize [əˈpɑː.lə.dʒaɪz]
popel,ash [æʃ]
teta,aunt [ænt]
bublina,bubble [ˈbʌb.əl]
kupující,buyer [ˈbaɪ.ɚ]
kasino,casino [kəˈsiː.noʊ]
rada (form.),counsel [ˈkaʊn.səl]
smrtící,deadly [ˈded.li]
odhodlání,determination [dɪˌtɝː.mɪˈneɪ.ʃən]
objetí,embrace [ɪmˈbreɪs]
vystavovat,exhibit [ɪɡˈzɪb.ɪt]
gentleman,gentleman [ˈdʒen.t̬əl.mən]
kladivo,hammer [ˈhæm.ɚ]
ikona,icon [ˈaɪ.kɑːn]
uvalit,impose [ɪmˈpoʊz]
domorodý,indigenous [ɪnˈdɪdʒ.ə.nəs]
nekonečný,infinite [ˈɪn.fə.nət]
instalace,installation [ˌɪn.stəˈleɪ.ʃən]
pohřbít,inter [ɪnˈtɝː]
zákonodárný,legislature [ˈledʒ.ə.slə.tʃɚ]
náchylnost (sklon),liability [ˌlaɪ.əˈbɪl.ə.t̬i]
navíc,moreover [ˌmɔːrˈoʊ.vɚ]
naše,ours [ˈaʊ.ɚz]
slavnostní průvod,parade [pəˈreɪd]
ráj,paradise [ˈper.ə.daɪs]
předběžný,preliminary [prɪˈlɪm.ə.ner.i]
premiéra,premiere [prɪˈmɪr]
prezidentství,presidency [ˈprez.ɪ.dən.si]
(za)reagovat,react [riˈækt]
realistický,realistic [ˌriː.əˈlɪs.tɪk]
poznámka (ústní),remark [rɪˈmɑːrk]
zapamatovat si,retain [rɪˈteɪn]
skalnatý,rocky [ˈrɑː.ki]
uspokojení,satisfaction [ˌsæt̬.ɪsˈfæk.ʃən]
škrábanec,scratch [skrætʃ]
odstín,shade [ʃeɪd]
šerif,sheriff [ˈʃer.ɪf]
plachý,shy [ʃaɪ]
někdy,sometime [ˈsʌm.taɪm]
striktně,strictly [ˈstrɪkt.li]
sluneční záře,sunshine [ˈsʌn.ʃaɪn]
hlasitý (důrazně vyjádřený),vocal [ˈvoʊ.kəl]
plodit (úrodu ap.),yield [jiːld]
vstup (povolení vstoupit),admission [ədˈmɪʃ.ən]
také známý jako,aka [ˌeɪ.keɪˈeɪ]
slanina,bacon [ˈbeɪ.kən]
bariéra,barrier [ˈber.i.ɚ]
prasknout,burst [bɝːst]
(hovězí) dobytek,cattle [ˈkæt̬.əl]
třída (školní místnost),classroom [ˈklæs.ruːm]
kompromis,compromise [ˈkɑːm.prə.maɪz]
vhodný,convenient [kənˈviː.ni.ənt]
plodina,crop [krɑːp]
zemětřesení,earthquake [ˈɝːθ.kweɪk]
(po)starší,elderly [ˈel.dɚ.li]
odstranit,eliminate [iˈlɪm.ə.neɪt]
uvést do rozpaků,embarrass [ɪmˈber.əs]
přístav,harbor [ˈhɑːr.bɚ]
ion(t),ion [ˈaɪ.ɑːn]
lék (umělé),medication [ˌmed.əˈkeɪ.ʃən]
portfolio,portfolio [ˌpɔːrtˈfoʊ.li.oʊ]
produktivita,productivity [ˌproʊ.dəkˈtɪv.ə.t̬i]
protokol,protocol [ˈproʊ.t̬ə.kɑːl]
tiše,quietly [ˈkwaɪət.li]
promítání,screening [ˈskriː.nɪŋ]
polévka,soup [suːp]
jihovýchod,southeast [ˌsaʊθˈiːst]
kůl (zatlučený),stake [steɪk]
nápor (zátěže),strain [streɪn]
rychlý (pohyb ap.),swift [swɪft]
vyříkat si (otevřeně promluvit s),tackle [ˈtæk.əl]
mučit,torture [ˈtɔːr.tʃɚ]
přeložit (do jiného jazyka),translate [trænsˈleɪt]
naléhavý,urgent [ˈɝː.dʒənt]
zelenina,vegetable [ˈvedʒ.tə.bəl]
svislý,vertical [ˈvɝː.t̬ə.kəl]
porušení (zákona ap.),violation [ˌvaɪ.əˈleɪ.ʃən]
(pánská) peněženka,wallet [ˈwɑː.lɪt]
velština,welsh [welʃ]
dílna,workshop [ˈwɝːk.ʃɑːp]
na palubě,aboard [əˈbɔːrd]
abstraktní,abstract [ˈæb.strækt]
přízvuk,accent [ˈæk.sənt]
závislost,addiction [əˈdɪk.ʃən]
probudit se (kniž),awake [əˈweɪk]
trám,beam [biːm]
fazole,bean [biːn]
prázdný,blank [blæŋk]
bizon,buffalo [ˈbʌf.ə.loʊ]
přesvědčení,conviction [kənˈvɪk.ʃən]
zkorumpovaný,corrupt [kəˈrʌpt]
kráva,cow [kaʊ]
křivka,curve [kɝːv]
deprimovaný,depressed [dɪˈprest]
zasloužený,deserved [dɪˈzɝːvd]
(doba) trvání,duration [duːˈreɪ.ʃən]
babička,grandmother [ˈɡræn.mʌð.ɚ]
drsný,harsh [hɑːrʃ]
klakson,horn [hɔːrn]
spěchat,hurry [ˈhɝː.i]
imunní,immune [ɪˈmjuːn]
inflace,inflation [ɪnˈfleɪ.ʃən]
přísada,ingredient [ɪnˈɡriː.di.ənt]
prohlídka,inspection [ɪnˈspek.ʃən]
(na)instalovat,install [ɪnˈstɑːl]
intenzita,intensity [ɪnˈten.sə.t̬i]
inventář,inventory [ˈɪn.vən.tɔːr.i]
pozvání,invitation [ˌɪn.vəˈteɪ.ʃən]
soudní,judicial [dʒuːˈdɪʃ.əl]
ospravedlnit,justify [ˈdʒʌs.tə.faɪ]
štíhlý,lean [liːn]
přednáška,lecture [ˈlek.tʃɚ]
smysluplný,meaningful [ˈmiː.nɪŋ.fəl]
migrace,migration [maɪˈɡreɪ.ʃən]
raketa (reaktivní střela),missile [ˈmɪs.əl]
orgán,organ [ˈɔːr.ɡən]
hlídkovat,patrol [pəˈtroʊl]
perla,pearl [pɝːl]
pepř,pepper [ˈpep.ɚ]
prase,pig [pɪɡ]
hromada,pile [paɪl]
ucpat,plug [plʌɡ]
poskytnutí,provision [prəˈvɪʒ.ən]
zrevidovat,revise [rɪˈvaɪz]
prut,rod [rɑːd]
schod,stair [ster]
zírat,stare [ster]
statistický,statistical [stəˈtɪs.tɪ.kəl]
cizinec,stranger [ˈstreɪn.dʒɚ]
pot,sweat [swet]
tetování,tattoo [tætˈuː]
náctiletý,teenage [ˈtiːn.eɪdʒ]
hrom,thunder [ˈθʌn.dɚ]
tragédie,tragedy [ˈtrædʒ.ə.di]
trauma,trauma [ˈtrɑː.mə]
zápas(ení),wrestling [ˈres.lɪŋ]
zoo,zoo [zuː]
soulad (vyhovování požadavku),accordance [əˈkɔːr.dəns]
aktivista,activist [ˈæk.tə.vɪst]
podobný (vzájemně),alike [əˈlaɪk]
použitelný (pro daný případ),applicable [əˈplɪk.ə.bəl]
šipka (směrovka),arrow [ˈer.oʊ]
dostupnost (k mání),availability [əˌveɪ.ləˈbɪl.ə.t̬i]
ohnout se (zkřivit se),bend [bend]
porušit (nedodržet),breach [briːtʃ]
kajuta,cabin [ˈkæb.ɪn]
klec (pro zvíře),cage [keɪdʒ]
povzbuzovat,cheer [tʃɪr]
skříň,closet [ˈklɑː.zət]
společník,companion [kəmˈpæn.jən]
uvědomění,consciousness [ˈkɑːn.ʃəs.nəs]
konzultant,consultant [kənˈsʌl.tənt]
ovladač (ovládací zařízení),controller [kənˈtroʊ.lɚ]
odpovídat (souhlasit),correspond [ˌkɔːr.əˈspɑːnd]
bezplatný (služba zákazníkům ap.),courtesy [ˈkɝː.t̬ə.si]
kotouč,disc [dɪsk]
velvyslanectví,embassy [ˈem.bə.si]
fascinující,fascinating [ˈfæs.ən.eɪ.tɪŋ]
vina,guilt [ɡɪlt]
útočiště (azyl),haven [ˈheɪ.vən]
vrtulník,helicopter [ˈhel.əˌkɑːp.tɚ]
domácí úkol,homework [ˈhoʊm.wɝːk]
ikonický,iconic [aɪˈkɑː.nɪk]
nakazit (nemocí),infect [ɪnˈfekt]
nadšený (zapálený),keen [kiːn]
povinný (předepsaný),mandatory [ˈmæn.də.tɔːr.i]
(průmyslová) výroba,manufacture [ˌmæn.jəˈfæk.tʃɚ]
mechanik,mechanic [məˈkæn.ɪk]
pouhý (nevýznamný vzhledem k situaci),mere [mɪr]
zázrak,miracle [ˈmɪr.ə.kəl]
bláto,mud [mʌd]
pozorování,observation [ˌɑːb.zɚˈveɪ.ʃən]
dlužit,owe [oʊ]
jev,phenomenon [fəˈnɑː.mə.nɑːn]
přesný,precise [prəˈsaɪs]
povolání (obor),profession [prəˈfeʃ.ən]
vyhlídka (do budoucna),prospect [ˈprɑː.spekt]
ochranný (opatření),protective [prəˈtek.tɪv]
poskytovatel,provider [prəˈvaɪ.dɚ]
nakladatel,publisher [ˈpʌb.lɪ.ʃɚ]
údajně (dle zpráv),reportedly [rɪˈpɔːr.t̬ɪd.li]
ustoupit (před nepřítelem),retreat [rɪˈtriːt]
zelenáč,rookie [ˈrʊk.i]
sendvič,sandwich [ˈsæn.wɪtʃ]
oddělení (odloučení),separation [ˌsep.əˈreɪ.ʃən]
pohlavně,sexually [ˈsek.ʃu.əl.i]
lyže,ski [skiː]
chirurg,surgeon [ˈsɝː.dʒən]
krádež,theft [θeft]
ventil,valve [vælv]
vízum,visa [ˈviː.zə]
sousední (přilehlý),adjacent [əˈdʒeɪ.sənt]
uznání (ocenění),appreciation [əˌpriː.ʃiˈeɪ.ʃən]
atletické postavy,athletic [æθˈlet̬.ɪk]
povolit,authorize [ˈɑː.θɚ.aɪz]
transparent (se sloganem ap.),banner [ˈbæn.ɚ]
půvab,charm [tʃɑːrm]
horolezectví,climbing [ˈklaɪ.mɪŋ]
kolonie,colony [ˈkɑː.lə.ni]
krutý,cruel [ˈkruː.əl]
studijní plán,curriculum [kəˈrɪk.jə.ləm]
uzávěrka,deadline [ˈded.laɪn]
vysoká (zvěř),deer [dɪr]
delta,delta [ˈdel.t̬ə]
ponor (potápěčský),dive [daɪv]
jedenáct,eleven [əˈlev.ən]
entita,entity [ˈen.t̬ə.t̬i]
nadměrný (přílišný),excessive [ekˈses.ɪv]
feminist(k)a,feminist [ˈfem.ə.nɪst]
vládnout (zemi),govern [ˈɡʌv.ɚn]
šunka,ham [hæm]
(vy)léčit (se),heal [hiːl]
rozhraní,interface [ˈɪn.t̬ɚ.feɪs]
šperky,jewelry [ˈdʒuː.əl.ri]
žurnalistika,journalism [ˈdʒɝː.nə.lɪ.zəm]
džungle,jungle [ˈdʒʌŋ.ɡəl]
přímočarý,linear [ˈlɪn.i.ɚ]
občasný,occasional [əˈkeɪ.ʒən.əl]
orientovat se,orient [ˈɔːr.i.ənt]
předpovědět,predict [prɪˈdɪkt]
honba,pursuit [pɚˈsuːt]
rap,rap [ræp]
připomínka,reminder [rɪˈmaɪn.dɚ]
pokračovat (po přerušení),resume [rɪˈzuːm]
"hřeben (hory, střechy)",ridge [rɪdʒ]
učenec,scholar [ˈskɑː.lɚ]
kmen,tribe [traɪb]
proměnná,variable [ˈver.i.ə.bəl]
znepokojivý,worrying [ˈwɝː.i.ɪŋ]
eso,ace [eɪs]
upravit (uzpůsobit),adjust [əˈdʒʌst]
střídat se (každý jednou),alternate [ˈɑːl.tɚ.neɪt]
přitažlivost,attraction [əˈtræk.ʃən]
"zlato, miláčku, drahoušku (oslovení partnera)",babe [beɪb]
bankrot,bankruptcy [ˈbæŋ.krəpt.si]
schopnost,capability [ˌkeɪ.pəˈbɪl.ə.t̬i]
uzávěr,closure [ˈkloʊ.ʒɚ]
kognitivní,cognitive [ˈkɑːɡ.nə.t̬ɪv]
konkurent,competitor [kəmˈpet̬.ə.t̬ɚ]
obránce (hrací post),defender [dɪˈfen.dɚ]
zubní,dental [ˈden.t̬əl]
diplomatický,diplomatic [ˌdɪp.ləˈmæt̬.ɪk]
buben,drum [drʌm]
redakční,editorial [ˌed.əˈtɔːr.i.əl]
(po)bavit,entertain [en.t̬ɚˈteɪn]
věčný (stále trvající),eternal [ɪˈtɝː.nəl]
zmrazit,freeze [friːz]
obecný,generic [dʒəˈner.ɪk]
babička,grandma [ˈɡræn.mɑː]
sevření (uchopení),grip [ɡrɪp]
hrst (množství),handful [ˈhænd.fʊl]
pokorný,humble [ˈhʌm.bəl]
kříženec,hybrid [ˈhaɪ.brɪd]
klávesnice,keyboard [ˈkiː.bɔːrd]
mírný (intenzita),mild [maɪld]
minimální,minimal [ˈmɪn.ə.məl]
molekulární,molecular [məˈlek.jə.lɚ]
poledne,noon [nuːn]
v současné době,nowadays [ˈnaʊ.ə.deɪz]
otevřeně (bez skrývání),openly [ˈoʊ.pən.li]
(obecný) přehled,overview [ˈoʊ.vɚ.vjuː]
farnost,parish [ˈper.ɪʃ]
ubohý,pathetic [pəˈθet̬.ɪk]
brambor,potato [pəˈteɪ.t̬oʊ]
hrnčíř,potter [ˈpɑː.t̬ɚ]
přednost (priorita),preference [ˈpref.ər.əns]
slibný,promising [ˈprɑː.mɪ.sɪŋ]
podíl (část celku),proportion [prəˈpɔːr.ʃən]
zuřit,rage [reɪdʒ]
obnovení,restoration [ˌres.təˈreɪ.ʃən]
sobecký,selfish [ˈsel.fɪʃ]
seržant,sergeant [ˈsɑːr.dʒənt]
hedvábí,silk [sɪlk]
známka (poštovní ap.),stamp [stæmp]
trůn,throne [θroʊn]
nutkání,urge [ɝːdʒ]
čarodějnice,witch [wɪtʃ]
archiv,archive [ˈɑːr.kaɪv]
pole (v programování),array [əˈreɪ]
břicho,belly [ˈbel.i]
stánek,booth [buːθ]
zhroucení,breakdown [ˈbreɪk.daʊn]
brutální,brutal [ˈbruː.t̬əl]
(vy)počítat,calculate [ˈkæl.kjə.leɪt]
vačka,cam [kæm]
občanství,citizenship [ˈsɪt̬.ə.zən.ʃɪp]
útes,cliff [klɪf]
shoda (všeobecná),consensus [kənˈsen.səs]
cyklistika,cycling [ˈsaɪ.klɪŋ]
prohlášení,declaration [ˌdek.ləˈreɪ.ʃən]
derby,derby [ˈdɝː.bi]
rozdíl (rozlišení),distinction [dɪˈstɪŋk.ʃən]
dar (příspěvek charitě ap.),donation [doʊˈneɪ.ʃən]
obličejový,facial [ˈfeɪ.ʃəl]
věrný (citově ap.),faithful [ˈfeɪθ.fəl]
osudný,fatal [ˈfeɪ.t̬əl]
fík,fig [fɪɡ]
padnoucí,fitting [ˈfɪt̬.ɪŋ]
opravdu (skutečně),genuinely [ˈdʒen.ju.ɪn.li]
hlad,hunger [ˈhʌŋ.ɡɚ]
hurikán,hurricane [ˈhɝː.ɪ.keɪn]
inovační,innovative [ˈɪn.ə.veɪ.t̬ɪv]
jurisdikce,jurisdiction [ˌdʒʊr.ɪsˈdɪk.ʃən]
smích,laughter [ˈlæf.tɚ]
citrón,lemon [ˈlem.ən]
nakládání (zboží ap.),loading [/kəˈlæb.ə.reɪt/]
plíce,lung [lʌŋ]
přiřazování (do dvojic),matching [ˈmætʃ.ɪŋ]
mohutný (impozantně),mighty [ˈmaɪ.t̬i]
měnový,monetary [ˈmɑː.nə.ter.i]
výživa,nutrition [nuːˈtrɪʃ.ən]
ruda,ore [ɔːr]
borovice,pine [paɪn]
špatně (nekvalitně),poorly [ˈpʊr.li]
póza,pose [poʊz]
(na)lít,pour [pɔːr]
ryze,purely [ˈpjʊr.li]
pronájem (auta ap. též),rental [ˈren.t̬əl]
zdánlivě,seemingly [ˈsiː.mɪŋ.li]
vážně (kriticky),severely [səˈvɪr.li]
žralok,shark [ʃɑːrk]
přeživší,survivor [sɚˈvaɪ.vɚ]
po technické stránce,technically [ˈtek.nɪ.kəl.i]
neomezený,unlimited [ʌnˈlɪm.ɪ.t̬ɪd]
úzkostlivý,anxious [ˈæŋk.ʃəs]
včela,bee [biː]
cigareta,cigarette [ˈsɪɡ.ə.ret]
kultovní,cult [kʌlt]
mlékárna,dairy [ˈder.i]
miláček,darling [ˈdɑːr.lɪŋ]
požitek,delight [dɪˈlaɪt]
deník,diary [ˈdaɪr.i]
nesouhlasit,disagree [ˌdɪs.əˈɡriː]
vrtačka,drill [drɪl]
vyvinout,evolve [ɪˈvɑːlv]
předpověď (počasí ap.),forecast [ˈfɔːr.kæst]
správa ,governance [ˈɡʌv.ɚ.nəns]
obejmout,hug [hʌɡ]
významně (důležitě),importantly [ɪmˈpɔːr.tənt.li]
halový,indoor [ˌɪnˈdɔːr]
vlivný,influential [ˌɪn.fluˈen.ʃəl]
neviditelný,invisible [ɪnˈvɪz.ə.bəl]
soudní řízení,lawsuit [ˈlɑː.suːt]
prosáknout (nádoba),leak [liːk]
hudebník,musician [mjuːˈzɪʃ.ən]
oliva,olive [ˈɑː.lɪv]
vášnivý,passionate [ˈpæʃ.ən.ət]
přijímač,receiver [rɪˈsiː.vɚ]
nepokoje (výtržnosti ap.),riot [ˈraɪ.ət]
rozpis služeb,roster [ˈrɑː.stɚ]
lebka,skull [skʌl]
"fyzický otvor (štěrbina, otvor, šachta ap.)",slot [slɑːt]
rozmlátit,smash [smæʃ]
socha,statue [ˈstætʃ.uː]
překvapivě,surprisingly [sɚˈpraɪ.zɪŋ.li]
kapitulovat,surrender [səˈren.dɚ]
podezřelý,suspicious [səˈspɪʃ.əs]
něžný,tender [ˈten.dɚ]
důkladně,thoroughly [ˈθɝː.ə.li]
vakuum,vacuum [ˈvæk.juːm]
variace,variation [ˌver.iˈeɪ.ʃən]
(nepodložené) obvinění,allegation [ˌæl.əˈɡeɪ.ʃən]
předvídat,anticipate [ænˈtɪs.ə.peɪt]
architekt,architect [ˈɑːr.kə.tekt]
povodí,basin [ˈbeɪ.sən]
prospěšný,beneficial [ˌben.əˈfɪʃ.əl]
krvácet,bleed [bliːd]
plemeno (zvířecí),breed [briːd]
nevěsta,bride [braɪd]
pupen,bud [bʌd]
majordomus,butler [ˈbʌt.lɚ]
kreslený film,cartoon [kɑːrˈtuːn]
kuřátko,chick [tʃɪk]
koks,coke [koʊk]
srovnatelný,comparable [ˈkɑːm.pɚ.ə.bəl]
potvrzení,confirmation [ˌkɑːn.fɚˈmeɪ.ʃən]
utěšit,console [kənˈsoʊl]
dodavatel (zhotovitel zakázky),contractor [ˈkɑːn.træk.tɚ]
průměr (rozměr),diameter [daɪˈæm.ə.t̬ɚ]
skládka,dump [dʌmp]
duo,duo [ˈduː.oʊ]
slon,elephant [ˈel.ə.fənt]
zlepšit (zvýraznit kvalitu),enhance [ɪnˈhæns]
vyčerpaný,exhausted [ɪɡˈzɑː.stɪd]
tkanina,fabric [ˈfæb.rɪk]
pohádkový (expr. nádherný),fabulous [ˈfæb.jə.ləs]
víla,fairy [ˈfer.i]
záhyb,fold [foʊld]
podivín,freak [friːk]
hazard(riskantní hra),gambling [ˈɡæm.blɪŋ]
jemně,gently [ˈdʒent.li]
překrásný,glorious [ˈɡlɔːr.i.əs]
zármutek,grief [ɡriːf]
nevyhnutelný,inevitable [ˌɪnˈev.ə.t̬ə.bəl]
rozvržení,layout [ˈleɪ.aʊt]
chata,lodge [lɑːdʒ]
zásluha,merit [ˈmer.ɪt]
zdrcující (naprosto převažující),overwhelming [ˌoʊ.vɚˈwel.mɪŋ]
bledý,pale [peɪl]
částice,particle [ˈpɑːr.t̬ə.kəl]
farář,pastor [ˈpæs.tɚ]
trvale,permanently [ˈpɝː.mə.nənt.li]
jed,poison [ˈpɔɪ.zən]
provinční,provincial [prəˈvɪn.ʃəl]
rebel,rebel [ˈreb.əl]
otáčení,rotation [roʊˈteɪ.ʃən]
odděleně,separately [ˈsep.ɚ.ət.li]
nepatrný (sotva znatelný),subtle [ˈsʌt̬.əl]
mýtné,toll [toʊl]
tragický,tragic [ˈtrædʒ.ɪk]
trenér,trainer [ˈtreɪ.nɚ]
proměnit (se),transform [trænsˈfɔːrm]
neuvěřitelný,unbelievable [ˌʌn.bɪˈliː.və.bəl]
pod (bezprostředně),underneath [ˌʌn.dɚˈniːθ]
virový,viral [ˈvaɪ.rəl]
